odour stim,19/03/2021 Female 7,22/03/2021 Male 1,22/03/2021 Male 2,22/03/2021 Male 7,22/03/2021 Female 11,29/03/2021 Female 3,29/03/2021 Female 5,31/03/2021 Female 1,31/03/2021 Female 4,31/03/2021 Female 9,31/03/2021 Female 10,31/03/2021 Female 13,08/04/2021 Female 1,08/04/2021 Female 5,08/04/2021 Female 7,08/04/2021 Female 8,08/04/2021 Female 9,08/04/2021 Female 13,08/04/2021 Female 14,08/04/2021 Female 15,28/06/2021 Male 14,28/06/2021 Male 15,28/06/2021 Male 16,28/06/2021 Male 18,02/07/2021 Male 1,05/07/2021 Male 1
,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT
0,6.0436,4.9935,8.7111,8.8348,6.4343,4.4536,11.2514,2.9793,12.0862,6.4568,6.1095,2.8674,4.6343,13.4432,9.9243,5.0191,9.8533,7.9509,7.3762,4.3983,5.7359,4.956,16.523,3.2351,2.8463,7.7327
0,6.2463,4.7198,8.3547,8.5492,7.1539,4.4213,11.8775,3.532,12.0463,6.7211,5.9988,2.6807,4.1533,13.249,10.0055,5.2094,9.339,8.2289,7.4001,5.4398,5.7733,4.635,15.3932,3.3104,2.5493,7.394
0,6.6538,5.123,8.3728,9.2346,6.4446,4.5609,11.7136,3.806,11.9384,6.6789,5.9494,2.46,4.5944,14.148,10.6877,4.9317,8.7277,7.7327,5.9887,4.3748,5.4459,5.523,14.8566,3.2597,2.5292,7.4175
0,6.3051,5.354,7.9292,8.7569,6.6467,4.6472,11.5557,3.4222,12.1235,6.8576,5.4788,2.6871,4.5813,13.9426,10.825,5.5625,7.7108,7.9953,6.2184,4.9267,5.2837,5.6744,13.7509,3.4754,2.4319,7.2259
0,6.0136,5.5726,7.8401,8.6469,6.6787,5.3512,10.3704,3.4919,12.4236,6.8735,5.7846,2.5841,4.4366,13.8766,9.1596,5.2331,8.6599,7.749,5.7727,4.7025,5.1028,6.0337,12.8614,3.3385,2.635,7.4153
0,6.1829,5.7201,8.4941,8.6981,6.6362,5.0629,11.0477,3.433,12.3981,7.2457,5.4224,2.611,4.8353,13.632,10.5225,4.5231,8.3016,7.8529,6.5616,4.6295,5.5485,6.1466,12.6381,3.6079,2.7441,7.0185
0,6.2334,5.1473,8.364,8.7836,6.8117,5.0357,10.9853,3.2348,12.0589,7.3888,5.6667,2.7282,5.039,14.8416,11.5868,5.6424,9.3112,7.8861,6.794,4.8037,5.5541,5.7733,11.791,3.7019,2.5804,7.6124
0,5.7691,5.6144,8.0073,8.7878,6.9261,5.0182,10.6021,3.5495,11.8276,7.2554,5.9293,2.7732,4.6441,14.984,10.7309,5.7388,9.4054,7.6752,6.1929,4.468,5.3708,6.082,11.7213,4.2193,2.9925,7.2479
0,6.0334,5.1866,7.9276,8.4602,7.3425,5.3236,10.2113,3.3956,11.5681,7.2398,6.2395,2.7698,4.159,14.6309,11.656,6.0248,10.0734,7.2739,6.9971,4.9323,5.7108,6.1866,11.6841,3.9313,3.0395,7.3721
0,6.0555,5.3631,8.4378,8.9408,6.8258,4.7329,10.5169,3.5291,11.0664,7.0412,5.7468,2.374,4.9309,14.8671,11.7509,6.3021,11.0775,7.6695,7.0697,4.8745,5.3939,5.7516,11.6488,4.2147,2.8142,7.0975
