odour stim,09/04/2021 Male 1,09/04/2021 Male 3,16/04/2021 Female 5,21/04/2021 Female 1,21/04/2021 Female 4,21/04/2021 Female 11,22/04/2021 Female 1,22/04/2021 Female 8,22/04/2021 Female 13,23/04/2021 Female 4,23/04/2021 Female 6,23/04/2021 Female 7,23/04/2021 Female 10,23/04/2021 Female 11
,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT
0,3.6723,11.7174,9.4552,6.767,11.2288,7.6479,2.1774,4.2934,2.9511,3.3104,3.2599,2.5755,6.9382,4.9856
0,3.999,10.8744,8.773,6.6861,11.29,8.6071,1.8709,4.4217,3.1528,3.2265,3.2655,2.4892,7.1098,4.9678
0,4.0323,10.8958,9.2402,6.9889,9.9532,8.4969,2.0356,4.6257,3.2109,3.1622,3.2669,2.7872,6.9278,4.7745
0,4.0567,10.8849,9.4697,6.453,10.4509,8.0838,2.0559,4.7025,3.2076,3.1284,3.5665,2.6383,7.3576,4.9761
0,4.1069,10.4038,10.3496,6.4772,11.0557,7.6931,2.1887,4.6813,3.0299,3.2317,3.5214,3.0098,7.8351,4.3402
0,4.4322,11.1327,10.6028,6.0976,11.8115,8.7052,2.0248,4.7728,3.3098,3.361,3.2354,2.6518,7.6861,5.1067
0,4.2933,11.7883,11.3773,6.0778,11.8436,8.8679,2.2719,4.7489,3.0437,3.1242,2.999,2.5445,7.7959,4.5937
0,4.3305,12.3815,11.159,5.9403,10.8678,8.6353,2.0791,5.1128,3.0324,3.0249,3.024,2.399,7.9219,4.2212
0,4.2931,12.5258,11.0917,6.0763,10.2606,8.9479,2.1283,4.4479,3.172,3.2668,3.0822,2.2298,7.9439,3.788
0,4.2462,13.6261,11.0224,6.0204,10.3166,10.4421,1.8978,4.9272,3.4422,3.1567,3.1328,2.5476,8.5007,4.0558
0,4.0904,13.537,10.322,6.2992,8.979,10.66,2.1132,4.9182,2.961,2.882,2.9628,2.4348,8.0718,4.2813
0,3.9602,13.3579,10.2093,6.2747,9.5944,10.3816,2.0417,4.847,3.0456,2.8191,3.0844,2.7167,8.1111,4.9782
0,3.936,14.2734,11.4664,6.3477,8.9889,11.0035,2.1031,5.0504,2.9296,3.1405,3.0472,2.3431,7.8664,4.8419
0,4.069,14.835,11.4425,6.0825,9.0183,10.7601,2.246,4.9956,3.2888,2.9413,2.8979,2.5501,7.4939,5.0827
0,3.6849,14.3675,11.2556,6.0054,9.3598,10.7306,2.3778,4.9332,3.1771,2.8722,3.0476,2.6918,8.0511,5.0471
0,4.2193,14.0485,11.357,6.3163,10.7164,10.2305,2.8349,4.8264,3.1746,2.8448,3.0657,2.5458,7.8337,4.8052
0,4.1614,14.6199,11.6671,6.3995,11.0228,10.2581,2.8476,4.7818,3.187,2.9168,3.0613,2.5021,7.664,4.52
0,3.9745,15.0791,12.2942,6.2826,11.0103,10.495,2.8379,4.7212,3.0489,2.7724,2.8985,2.5441,7.2598,4.3821
0,4.2844,16.225,11.5065,6.2635,10.8775,9.7998,2.5153,4.6715,3.2972,3.1044,2.9685,2.1985,7.0324,4.3638
0,4.2985,16.4579,11.2387,5.9138,11.2462,9.3763,2.8488,4.6352,3.1557,2.9202,3.2373,2.2847,6.6142,4.2548
0,3.773,16.162,11.2642,6.5542,12.0813,10.812,2.6669,4.7555,2.8931,2.8427,3.1893,2.557,6.7693,4.3932
0,4.088,16.8453,10.8195,6.8337,10.236,10.6782,2.9364,4.9447,2.9103,2.9996,3.0378,2.7934,7.3053,4.9204
0,4.0303,17.1018,11.4861,6.5696,10.2698,10.6354,2.8979,4.7251,2.8759,3.0741,2.9109,2.4753,6.7242,5.0158
0,3.9896,16.4968,11.6787,6.8724,10.4946,10.6001,2.5904,4.9206,2.916,2.807,3.0288,2.8447,6.9022,4.9251
0,3.9145,16.0658,12.3926,7.2313,8.8338,9.5716,2.7051,4.7333,3.298,2.994,3.1299,2.3442,7.0247,4.6589
0,3.9849,16.0535,13.4069,7.313,9.375,9.3456,3.011,4.6685,3.0617,2.8523,3.0887,2.1594,6.9124,4.764
0,4.0849,15.3808,13.6696,7.3525,10.4864,9.223,3.0548,4.3402,2.753,2.8896,2.936,2.645,7.6022,4.4737
0,3.6104,15.7233,13.2934,6.6568,10.4148,9.2333,2.956,4.1164,2.7752,2.7074,2.9815,2.5651,7.2167,4.5564
0,3.7326,15.7093,12.7387,7.0587,10.9046,9.1148,3.0469,4.6455,3.1423,2.8201,3.0844,2.3421,7.5148,4.5734
0,3.9643,15.8407,11.7778,6.8976,10.8462,9.8689,3.0249,4.4996,2.9348,2.7312,2.9387,2.2554,7.1452,4.4619
0,3.6487,15.4171,11.209,7.0373,10.9057,8.9644,3.0368,4.7882,3.1637,2.7349,2.641,2.371,6.7273,4.6332
0,3.9688,15.7011,10.2033,6.3678,10.8853,9.8123,3.0599,4.801,3.0195,2.7314,2.912,2.4849,7.0679,4.444
0,3.7214,15.4763,10.3248,6.5461,10.6593,9.4212,3.1411,4.8976,3.1783,2.7193,2.9263,2.4724,6.506,4.7565
0,3.6603,14.5844,9.2495,6.3327,10.2913,9.197,3.2106,5.0202,3.1687,2.7443,3.0339,2.6551,7.0441,4.7664
0,3.7031,15.0226,9.0434,6.3691,10.1221,8.9389,3.4931,5.0042,3.1032,2.7799,3.1412,2.4286,6.7057,4.3991
0,3.5615,15.5616,9.3206,6.0959,10.2855,9.3441,3.1468,4.7416,3.0855,2.6206,2.9408,2.5467,7.0715,4.5042
0,3.3497,14.5682,9.199,6.318,9.097,8.9845,2.9938,4.7304,2.7085,2.7887,3.0101,2.5677,7.0037,4.621
0,3.8618,15.7709,8.6985,6.4146,8.9809,9.4718,3.2399,4.5369,2.928,2.7939,2.9118,2.5264,6.5765,4.4194
0,3.5089,15.6383,9.1979,6.6821,10.5263,8.7752,3.07,4.4687,3.0571,2.7948,2.8886,2.6353,6.4846,4.4475
0,3.3467,15.7923,9.4788,6.7953,10.1443,8.9433,3.2176,4.2351,2.9592,2.8006,2.796,2.1967,6.1614,4.3173
0,3.4218,15.5949,9.9225,6.3014,9.7878,8.2974,3.0443,4.3817,3.0692,2.8539,2.936,2.2969,6.7916,3.9155
0,3.6053,15.3781,9.7817,6.158,10.1293,7.84,3.0506,4.3219,3.0859,2.5782,3.0712,2.2487,6.5762,4.4685
