odour stim;16/11/2020 Male1;16/11/2020 Female7;17/11/2020 Female6;17/11/2020 Female12;18/11/2020 Male6;19/11/2020 Male2;19/11/2020 Male7;20/11/2020 Female3;20/11/2020 Female5;20/11/2020 Female11;23/11/2020 Female2;25/11/2020 Female2;16/02/2021 Female3
;90V-45V;90V-45V;90V-45V;90V-45V;90V-45V;90V-45V;90V-45V;90V-45V;90V-45V;90V-45V;90V-45V;90V-45V;90V-45V
0.5;12.4141;4.5155;12.8029;17.9174;5.9691;11.0519;7.2502;10.936;14.0765;18.8717;12.3506;13.1224;5.0861
0.5;12.4623;3.5942;11.5267;18.2525;6.773;8.999;7.3641;10.8839;14.799;17.6784;13.8409;12.7537;4.7967
0.5;13.1165;3.5952;10.386;20.2516;6.3055;9.6832;7.6488;10.3711;14.2327;20.2572;12.8191;12.421;4.8673
0.5;13.0106;4.0886;9.2581;24.6911;7.2699;10.8189;7.7345;11.0435;15.0346;21.7391;14.0713;12.0626;4.7557
0.5;14.7509;3.6981;10.6994;24.2627;8.2609;10.4394;7.7;11.4458;14.3881;22.3037;14.3376;12.3782;4.4134
0.5;14.0631;4.1061;10.3271;24.0417;9.324;10.9553;7.6486;11.7398;14.2963;22.4818;14.8131;12.2851;4.4432
0.5;14.7313;3.9718;9.5648;20.3979;8.5119;12.0502;7.3687;11.041;13.9357;19.2252;15.397;12.6435;4.3675
0.5;12.7394;4.4872;9.124;19.9614;8.6438;13.2376;7.4039;10.8109;15.0149;17.3726;16.2489;11.322;4.1604
0.5;12.1933;4.3115;7.7284;17.6584;8.6591;13.1091;7.3314;10.4996;15.731;17.292;17.3633;11.4659;4.2404
0.5;12.8424;4.4451;8.2707;17.2033;8.326;13.389;7.4425;10.6385;15.2164;16.453;15.6855;11.4392;4.7008
0.5;12.4012;4.488;7.2495;18.6047;7.9843;12.5112;7.1784;10.9826;12.9133;14.2473;15.5894;11.9778;4.7165
0.5;12.593;3.5981;6.7684;19.1203;7.3648;11.14;7.4886;11.0405;12.5862;14.7942;15.1289;11.8278;4.2068
