odour stim,09/04/2021 Female 5,12/04/2021 Female 3,14/04/2021 Female 3,14/04/2021 Female 5,16/04/2021 Female 4,22/04/2021 Female 2,22/04/2021 Female 3,22/04/2021 Female 10,22/04/2021 Female 11,23/04/2021 Female 2,23/04/2021 Female 3
,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT
0,7.0648,6.5727,2.3269,9.0187,6.4631,5.7075,6.0609,12.8363,2.3045,3.801,6.7495
0,6.067,6.7128,3.1911,8.8289,6.6542,5.3872,5.6255,12.2323,2.322,3.8562,7.0074
0,5.8792,6.3326,2.7932,8.726,6.8225,5.7102,5.4758,13.0904,2.6171,3.7899,6.592
0,5.447,6.3333,2.9733,8.732,7.1148,5.4854,5.8991,12.4021,2.4488,3.8628,6.9061
0,4.9732,7.7164,3.1331,9.4976,7.2895,5.5987,5.6753,12.7094,2.4907,3.8773,6.7834
0,5.5869,7.1727,3.3331,8.8741,6.8511,5.7943,5.3218,13.6116,2.6312,3.9183,6.8352
0,5.1682,7.9426,2.9243,9.2007,6.6206,5.8152,5.4646,13.2329,2.6804,3.8629,6.8614
0,5.2501,7.1688,3.0296,9.2251,6.6367,6.1302,4.8708,12.0455,2.5644,4.0639,6.8016
0,6.4231,7.2664,2.5715,8.9825,6.4241,5.8522,5.2519,11.8847,2.443,3.9688,6.9866
0,7.4098,7.7705,3.0535,8.6179,6.8654,5.8112,5.6433,11.5606,2.3441,4.02,7.0451
0,8.1561,7.4274,3.6883,8.695,6.5992,5.9214,5.3434,12.0143,2.4986,4.0825,6.7754
0,7.8374,7.1076,3.3316,8.4643,6.3832,5.8951,5.6744,12.1701,2.5616,4.2645,6.9915
0,7.8366,6.8443,2.9547,8.7912,6.647,5.9953,5.8099,12.6568,2.524,4.2985,7.0207
0,6.362,8.0035,3.6018,8.4003,6.5189,5.7186,5.1647,12.4357,2.7918,4.1167,7.4185
0,7.1472,7.2955,3.6817,8.4616,6.5175,5.7722,6.176,11.8939,2.56,4.1257,7.4793
0,6.5107,6.8888,3.7385,8.2371,6.6855,5.9524,5.7865,12.3583,2.5657,3.9668,8.4768
