odour stim;29/09/2020 Female1;29/09/2020 Male3;29/09/2020 Female5;30/09/2020 Female1;30/09/2020 Male5;30/09/2020 Male6;21/10/2020 Male1;21/10/2020 Male2;30/10/2020 Male5;02/11/2020 Male5;03/11/2020 Male4;06/10/2020 Male1;06/11/2020 Female2;06/11/2020 Female3;11/11/2020 Female4;11/11/2020 Male5;11/11/2020 Female6
;60V-30V;60V-30V;60V-30V;60V-30V;60V-30V;60V-30V;60V-30V;60V-30V;60V-30V;60V-30V;60V-30V;60V-30V;60V-30V;60V-30V;60V-30V;60V-30V;60V-30V
0.5;2.8947;1.8734;2.8519;1.012;4.8598;4.377;4.2081;4.8014;6.2824;5.0739;2.8246;3.7188;1.3556;2.9502;2.5866;8.8006;2.8125
0.5;3.862;2.2255;3.4016;1.0086;4.9725;4.4697;4.3323;4.2748;6.6052;4.7921;2.7341;3.7284;1.2781;2.9738;2.7764;8.7407;2.9331
0.5;4.4342;1.8388;3.6338;1.0028;4.6091;4.2349;4.5099;5.1479;6.2645;4.7427;2.7021;3.2555;1.1048;3.2914;2.399;7.2864;2.8747
0.5;4.7278;1.4853;3.5378;0.7809;4.6545;4.4034;4.1399;4.9276;5.8353;4.7847;2.7247;3.1215;1.4406;2.6913;3.1405;8.2608;2.7002
0.5;5.5071;1.6785;3.4965;0.9537;4.3011;4.5879;3.9844;4.94;5.8041;4.9354;2.5831;3.4029;1.3389;2.8147;2.1773;8.0213;3.1822
0.5;5.9466;2.095;3.6104;1.0147;3.9253;4.3157;4.3809;5.289;5.7447;5.1579;2.6124;3.3509;1.2515;3.2439;2.7578;8.1821;2.7274
0.5;5.574;1.8533;3.6104;0.8032;3.7454;4.7704;3.8357;5.7721;5.672;5.6404;2.6073;3.1188;1.2861;2.9421;2.3288;8.5968;3.5988
0.5;5.27;1.8735;3.7813;0.9673;4.1144;4.7978;4.5283;5.4793;5.9981;6.0349;2.623;3.1512;1.2927;2.9851;2.6058;8.3676;4.1136
0.5;5.1705;1.7289;4.314;0.87;3.813;4.713;4.489;4.8142;5.7955;6.2514;2.7976;3.4054;1.2274;3.1779;2.3088;7.5924;4.4081
0.5;5.4484;1.929;3.7168;1.082;3.7369;5.0662;3.8655;6.0164;6.4605;6.033;2.7957;3.5459;1.252;3.2467;2.7728;7.3841;4.3765
0.5;5.4417;1.9345;3.3573;0.8839;3.5723;5.3717;3.5272;6.1582;6.2543;6.6169;2.6809;3.2135;1.202;3.2689;2.4371;7.6298;4.5443
0.5;5.4376;2.081;4.0104;0.8528;3.8155;5.94;4.2669;7.1373;5.6899;6.7781;2.6682;3.1544;1.3455;3.1339;2.3997;7.3025;5.1472
0.5;5.2572;1.3861;4.4612;1.0264;3.4762;6.2509;4.6752;6.7765;5.858;6.3619;2.6318;3.1899;1.3496;2.9673;2.4061;6.8838;5.1523
0.5;5.9586;1.8098;4.4779;1.0357;3.6434;6.2335;4.2757;7.1824;6.0848;6.1642;2.6511;3.2511;1.2028;3.0276;2.3589;8.0133;5.3835
0.5;4.7673;1.76;4.5978;0.9153;3.3356;6.3148;4.0068;8.0063;5.9598;5.7342;2.797;3.3463;1.2952;2.4689;2.4878;7.3227;5.4361
0.5;3.9465;2.0572;4.5375;0.8296;3.6078;6.0516;3.6595;7.1613;6.0076;5.388;2.7046;2.9739;1.286;2.9427;1.9892;6.9406;5.3226
0.5;3.6875;1.8758;4.5433;0.9435;3.4413;6.3988;3.876;6.7875;5.3089;5.5083;2.6962;3.0319;1.3594;3.6665;2.9292;6.8436;5.0105
0.5;3.6877;1.8342;6.1458;0.9616;3.6782;6.8619;4.149;6.7758;5.6924;5.0983;2.8097;2.9931;1.1318;3.9269;2.1697;6.9486;4.8862
0.5;3.9803;2.2126;5.7138;0.9355;3.9147;6.9494;4.0769;5.6205;5.1895;5.3649;2.8273;3.1529;1.3202;4.2441;2.9165;6.4609;5.3639
0.5;3.7758;2.1968;5.6505;0.9259;3.5304;7.5676;3.7411;5.6398;4.8545;5.3506;2.9022;3.028;1.2564;4.5569;2.5895;6.6713;5.4375
0.5;3.8927;2.2567;5.1997;0.8785;3.1606;7.4816;3.6953;5.6432;5.0804;4.956;3.0385;2.9763;1.266;4.9429;3.6399;6.8862;5.2265
0.5;4.2228;1.6345;5.0339;0.9676;3.3777;7.2063;4.2305;5.7744;5.4547;4.3818;2.9689;3.1314;1.257;4.9964;1.9471;7.152;5.5728
0.5;4.2326;1.9599;5.5068;0.9286;3.5128;7.3862;3.7164;5.8661;5.7404;4.4605;2.8699;3.312;1.2803;5.6705;3.3181;6.2795;5.1449
0.5;4.5695;2.3061;6.0349;0.9287;3.42;6.5144;3.6968;6.0659;5.9573;4.4197;2.9052;2.9938;1.507;5.3972;3.2436;6.9374;5.4372
0.5;4.703;1.966;6.0677;0.772;3.321;6.1196;3.8358;6.5244;6.0948;4.8177;2.792;3.0726;1.3633;5.2707;3.3633;6.8969;5.1112
0.5;4.109;2.1321;5.7766;0.8784;2.6424;6.2353;4.1403;6.0849;6.4408;4.6187;2.8149;3.0897;1.4553;4.9032;2.7443;6.8874;5.3231
0.5;3.7853;2.2895;5.5653;0.9083;3.0286;6.0261;3.6194;6.8545;6.2495;4.6435;2.9389;2.3528;1.5316;4.9819;3.0283;6.687;5.0862
0.5;3.6661;2.2574;5.3974;0.9259;3.3987;6.3154;3.5542;6.4827;6.9618;4.3711;2.9074;3.1299;1.7024;4.425;3.0193;7.0057;4.2957
0.5;3.5132;2.5782;5.6596;0.8042;3.7038;6.5822;3.8133;6.8578;7.2187;4.608;2.916;3.4778;1.8976;4.7491;3.3714;6.2058;4.802
0.5;3.3223;2.6771;5.5768;0.9358;3.1059;6.3766;3.6456;6.568;6.7204;4.2894;2.8363;3.9656;1.8776;4.6623;3.4512;6.0515;4.5327
0.5;3.2112;2.6261;4.7408;0.7214;2.8739;6.6972;3.4317;6.3931;7.0585;4.3642;2.554;4.525;2.0417;5.0475;2.9892;6.6251;5.0442
0.5;3.3507;2.8132;4.4307;1.0039;3.0616;6.6996;3.5876;6.7919;7.1978;4.2325;2.4638;5.1393;2.296;5.7416;3.716;6.4804;4.731
0.5;3.1604;3.262;5.1536;0.868;3.1456;6.5018;3.0865;6.3154;7.1212;4.1899;2.6093;5.5354;2.2514;5.0548;3.0681;6.1221;4.8455
0.5;3.1806;3.3529;4.6751;1.0051;3.3668;6.4133;3.1806;6.887;7.2225;4.609;2.5697;6.0058;2.4708;5.5092;4.1173;6.999;5.2615
0.5;3.5215;3.1911;4.807;0.9292;3.5319;6.6897;3.4737;7.3717;7.2625;4.7148;2.697;5.8778;2.3363;4.674;3.1529;6.7388;5.2348
0.5;3.5646;3.6484;4.5209;0.9166;3.7682;7.0332;3.8482;7.4953;7.5603;4.4033;2.8105;5.974;2.1973;5.1469;3.9566;6.979;5.5794
0.5;3.2286;3.2933;4.4243;1.0102;3.4156;6.8412;3.3975;7.3683;8.1569;4.34;2.5569;5.7407;2.2034;4.7862;2.9206;6.8991;5.4213
0.5;3.4836;3.2097;4.6018;1.0331;3.6295;6.5805;3.2902;7.5029;8.1616;4.3975;2.6188;6.1827;2.4538;5.1171;3.0972;7.1411;5.4316
0.5;3.707;3.3887;4.677;0.7878;3.6822;6.3517;3.7078;7.9981;8.144;4.2476;2.6883;5.9661;2.5745;5.2156;3.1391;6.8941;5.4727
0.5;3.933;3.1337;4.333;0.9589;3.2873;6.5407;3.5407;8.2051;7.9876;3.972;2.6744;5.5418;2.5458;5.5064;3.6635;6.9499;5.2733
0.5;4.0204;3.4654;4.2754;1.1027;3.5937;6.7796;3.7432;7.9976;7.6747;4.2443;2.5362;5.7041;2.5623;5.4246;4.3604;7.5364;5.3041
0.5;3.9786;3.1965;4.2947;1.0429;3.7591;6.763;3.4149;8.1131;7.4474;4.0326;2.4086;5.5177;2.688;4.8471;3.474;7.1362;5.2862
0.5;4.0296;3.5395;4.4483;1.026;3.8744;6.4399;3.3929;7.8001;7.7052;4.2753;2.5662;5.407;2.5295;4.8682;4.2205;7.2141;5.0466
0.5;4.0748;3.3208;3.9059;1.0125;3.5935;6.1826;3.2962;7.8996;7.5018;3.9932;2.5148;5.6871;2.1979;4.1999;3.3319;7.5275;5.1899
0.5;3.6694;3.0307;4.1144;1.0817;4.1104;6.4806;3.9423;7.6049;7.8062;4.0155;2.5955;5.6417;2.1362;3.5923;4.3753;7.7574;5.2418
0.5;3.4109;3.13;4.6112;1.1999;4.2117;7.0425;3.8333;8.01;8.006;4.341;2.5405;5.6598;2.3172;3.2972;2.9923;7.688;5.2528
0.5;3.0167;3.2879;4.3817;0.9352;4.0562;7.0042;3.9527;7.8371;8.2719;4.7078;2.6512;5.7268;2.2632;3.3174;3.2452;7.3621;5.1089
0.5;3.3321;3.2604;4.1951;1.0533;4.1813;7.0042;3.7968;8.1439;8.1628;4.8996;2.4788;5.9079;1.8642;3.2813;3.1773;7.8706;4.6289
0.5;3.1626;2.9921;4.125;1.0053;4.6936;6.4334;4.0284;7.4955;7.7868;5.0258;2.626;6.4937;2.0067;3.288;2.6938;7.0064;4.8919
0.5;3.0073;3.0472;4.4007;1.1839;4.5264;6.4148;4.179;7.198;7.7656;5.4795;2.5147;6.2373;1.8717;3.2323;2.8881;6.8555;4.8794
0.5;2.5635;3.0817;5.6052;1.0862;4.6022;6.0041;4.0229;6.9113;7.6775;5.8885;2.669;6.3347;1.9419;2.892;2.0978;6.9252;4.7387
0.5;2.7865;3.3358;7.0614;1.1836;5.5686;6.7322;4.6908;6.8864;7.6467;5.9343;2.543;6.3713;2.0143;3.3676;3.5277;7.8257;4.7432
0.5;2.6124;3.7105;7.8844;1.1487;4.5422;7.1597;4.4836;6.6585;6.4271;5.9871;2.8642;6.4065;1.8759;2.861;3.3818;7.8994;4.2138
0.5;2.6102;3.7699;8.3682;1.1043;6.0029;7.5368;5.3612;7.6711;6.5452;5.8615;2.4855;6.1411;1.8151;2.7861;4.5601;7.1704;4.5221
0.5;2.8541;4.0755;8.5783;1.1071;5.7661;6.8968;4.3765;6.7671;6.513;6.0315;2.491;5.6648;2.1786;2.6843;2.9761;7.6137;4.7366
0.5;2.6331;4.061;9.5982;1.1501;5.6645;6.6877;5.0113;6.4683;6.1271;6.1108;2.6971;5.6296;2.0618;2.6786;3.4903;8.1597;4.8482
0.5;2.7195;4.3429;10.1007;1.1445;5.1451;6.519;5.5686;6.7334;5.9148;6.9194;2.555;5.8261;2.012;2.8263;3.1057;7.7239;4.24
0.5;2.2622;4.2299;8.6692;1.0726;5.0918;6.3752;5.0788;6.3614;6.0233;7.0988;2.6126;5.8397;2.0513;2.5389;3.7082;6.9882;4.0962
0.5;2.6582;4.3939;8.6716;1.2363;4.5491;6.5344;4.8138;6.0057;6.2527;7.0289;2.3795;5.9337;1.9382;2.5985;3.6477;7.6327;4.0922
0.5;2.5465;4.1693;8.9239;1.4844;3.8788;6.5019;4.8599;5.832;5.8628;6.5068;2.6007;6.1146;1.6107;2.4196;3.2198;7.191;3.5866
0.5;2.6625;3.5473;8.7812;1.4337;3.7686;6.1151;5.0244;5.1033;5.4193;6.6487;2.489;5.7255;1.6373;2.468;3.4256;7.3493;3.3588
0.5;2.4426;3.9995;8.7026;1.2482;4.163;6.3746;5.9188;5.5333;5.7159;6.3022;2.5516;5.1876;1.7797;2.6019;2.4679;7.0083;3.0762
0.5;2.4901;3.7484;7.6653;1.2373;3.8414;6.0146;5.8088;5.2153;5.8497;7.2664;2.6295;4.9774;1.7551;2.6052;3.919;7.6544;2.9376
0.5;2.3667;3.7594;7.4476;1.3822;3.85;5.9664;5.1453;5.0886;6.059;7.6178;2.4911;4.9136;1.83;2.6294;3.0195;7.6032;3.2768
0.5;2.6831;3.4973;7.4719;1.6146;4.3009;5.6663;6.0135;5.4924;5.8271;8.4676;2.4135;4.6793;1.7281;2.7827;3.4823;6.9516;3.115
0.5;2.3846;3.2931;8.1002;1.9829;3.5646;5.4483;6.2315;5.8594;6.0285;8.3639;2.7589;4.7775;1.5166;2.4474;2.8108;7.2748;3.3027
0.5;2.5862;3.4053;7.9324;2.9463;4.0066;5.7138;5.7324;5.4279;6.1499;8.479;2.7483;4.5758;1.5061;2.4809;3.1621;7.3364;3.7689
0.5;2.4454;2.4481;7.5796;3.5793;3.5021;6.3211;6.004;5.9705;5.5863;8.1031;2.9738;4.4098;1.6475;2.5914;2.3538;7.7042;3.6168
0.5;2.4318;3.3634;8.1668;3.9074;3.5977;6.6913;6.8732;5.7503;6.1292;7.1202;2.4805;4.3968;1.5587;2.8031;2.4826;7.7093;3.2853
0.5;2.3447;2.8952;8.9292;4.3077;3.7884;7.4623;6.0802;5.9202;5.5837;6.3429;2.6845;4.0836;1.5598;2.6208;3.1766;8.9758;3.5197
0.5;2.5807;2.6501;7.7587;4.3965;3.6608;7.5952;5.3266;5.4633;5.7135;6.2753;2.934;4.0104;1.5817;2.457;2.4916;9.4979;3.2877
0.5;2.7655;2.5514;6.624;4.3177;3.8315;7.0808;5.5756;5.9839;5.5217;5.8626;2.6442;3.9486;1.8438;2.6991;3.2523;9.7858;3.4839
0.5;4.4036;3.1452;5.6453;4.4267;3.238;6.3961;5.9341;5.94;5.6516;5.8345;2.7077;3.9409;1.8194;2.5902;2.7439;10.8679;3.2565
0.5;5.639;3.3913;4.9235;4.3498;3.7257;6.3694;5.8246;6.5093;5.8137;6.0165;2.7074;3.4908;1.9941;2.683;3.4259;10.572;2.4689
0.5;4.8336;3.5309;4.5752;4.3242;3.613;5.8008;6.0905;6.1727;6.2588;5.874;2.5888;3.7558;1.7523;2.6243;2.3683;9.6007;2.858
0.5;4.5532;3.1784;4.4145;4.6728;3.7462;5.5869;5.3939;5.9624;6.2147;5.2683;2.5504;3.7715;2.082;2.5163;2.6331;8.8784;3.0536
0.5;4.8163;3.0959;3.7948;3.9828;3.6307;5.8782;5.8085;6.1014;6.3833;5.5685;2.7978;3.6213;1.8696;2.6227;2.2683;9.1752;2.9715
0.5;4.8524;3.601;3.8327;3.9058;3.1861;5.9869;5.5555;6.2246;6.2441;5.0463;2.8396;3.5609;1.7344;2.6664;2.4819;9.5015;2.7252
0.5;4.9882;3.8571;3.5502;4.2894;3.1818;5.642;5.5611;5.7158;6.3414;5.5368;2.7745;3.5386;1.6184;2.7394;2.1322;9.0922;2.9315
0.5;5.0382;3.8145;3.7085;5.1383;3.6169;5.4685;5.6836;6.6706;6.6548;5.5763;2.7544;3.5809;1.657;2.5966;1.8399;9.6152;2.7281
0.5;4.9933;3.9544;3.6782;5.7996;3.4311;5.4098;5.5061;6.1876;7.4107;5.6021;2.6943;3.5691;1.7207;2.6989;2.4229;9.7034;2.958
0.5;5.0167;3.4866;3.3408;6.5265;4.0116;5.452;5.6935;6.7916;7.6495;5.551;2.7965;3.3434;1.9662;2.7108;2.3064;9.8664;3.0616
0.5;5.0539;3.5882;3.7994;6.8546;4.0326;5.5187;5.5952;6.9903;7.611;5.4316;2.8141;3.8201;1.7347;2.8239;3.1688;9.6492;2.6825
0.5;4.9661;3.0476;4.0692;6.3299;3.4788;5.2565;5.5343;6.0942;7.0417;5.2335;2.7554;3.7235;1.776;2.4453;2.2117;10.4887;2.8192
0.5;5.2919;2.5015;3.8524;6.5246;3.7066;5.1428;5.735;6.1008;7.0332;5.0415;2.9229;3.6221;1.6022;2.5333;3.1757;11.0367;2.7649
0.5;5.4558;2.6925;4.0193;6.3613;3.7125;5.0878;5.9889;6.0709;7.5252;5.056;2.7917;3.4683;1.8503;2.3342;2.5837;10.4474;2.8472
0.5;4.9567;2.2107;3.6248;6.6759;3.4446;5.1237;5.8389;6.1341;7.3231;5.2262;2.8515;3.5994;1.9624;2.6173;3.0807;10.3483;2.8171
0.5;4.7586;2.548;3.7932;7.2366;3.4023;5.0098;5.4219;6.5163;6.9236;5.4178;3.0234;3.2299;2.1219;3.1377;2.2722;11.0623;2.8059
0.5;4.776;2.4502;3.6233;7.9024;3.6037;4.6489;4.759;6.0355;7.0359;5.5601;2.8505;3.2708;2.3931;3.0308;2.8201;12.002;2.8882
0.5;4.7553;2.3045;3.5725;8.2075;3.1997;5.1833;6.1245;6.1851;6.8554;6.3951;2.8213;3.4652;2.5377;2.6867;2.5455;11.0376;2.7433
0.5;4.5149;2.2703;3.655;7.0728;3.2734;4.8508;6.2755;6.062;6.8973;6.5749;2.7373;3.4073;2.6596;2.9685;3.0329;12.0431;2.9553
0.5;4.0451;1.8177;3.5944;6.5029;3.6748;5.2516;6.2266;5.9374;6.6398;6.4243;2.9067;3.4006;2.6838;3.1278;3.3876;12.2846;2.7263
0.5;4.5446;2.1535;3.2403;5.7419;3.8343;5.058;5.5336;6.6563;6.5633;6.0802;2.6896;3.4051;2.511;3.0904;3.1477;11.9732;2.5613
0.5;4.0392;2.2509;4.0174;5.9235;3.8054;4.8982;5.9337;5.8963;6.8365;6.6102;2.5462;3.4637;2.7306;2.8756;3.4342;12.0813;2.5214
0.5;4.0786;1.9022;3.4194;5.4865;3.764;4.8311;5.246;6.3308;6.0914;6.1543;2.6977;3.522;2.5023;2.8265;2.7861;12.3624;2.3269
0.5;3.8133;2.4384;3.7006;5.2056;3.4307;5.023;5.7058;6.124;6.2642;5.7233;2.7777;3.1766;2.2869;3.1123;3.2476;12.0858;2.6424
