odour stim;16/11/2020 Female5;16/10/2020 Female10;17/11/2020 Male10;18/11/2020 Female4;18/11/2020 Male9;19/11/2020 Male5;19/11/2020 Male9;20/11/2020 Male8;23/11/2020 Female4;23/11/2020 Female8;25/11/2020 Female5;16/02/2021 Male4;17/02/2021 Male3
;45V-90V;45V-90V;45V-90V;45V-90V;45V-90V;45V-90V;45V-90V;45V-90V;45V-90V;45V-90V;45V-90V;45V-90V;45V-90V
0.5;4.3159;6.9757;11.7267;13.3115;4.4367;10.9535;6.3024;17.1925;9.6873;11.2886;13.7596;9.8862;12.8501
0.5;4.1704;7.1572;11.3751;12.6951;4.895;10.8095;5.6756;16.388;10.445;11.3462;14.9997;9.8195;13.2274
0.5;4.256;7.0463;11.0282;13.2508;5.4031;11.3363;4.8887;17.6854;9.5057;11.7758;20.4807;9.5744;13.4947
0.5;5.0366;7.0431;10.3885;12.9524;5.4451;11.8967;5.1953;16.3094;10.0077;10.4356;22.2311;9.1817;14.3058
0.5;4.3447;6.473;9.6709;12.1973;5.9259;12.5662;5.1235;14.8242;9.6424;10.9231;21.435;9.0405;14.2813
0.5;4.7134;6.1019;10.6712;13.7627;6.8142;12.3926;6.1454;16.8238;9.7992;10.6333;21.581;8.0121;13.8018
0.5;4.5143;6.2967;9.8803;12.6545;8.4151;12.2934;7.2093;16.5936;10.5103;9.6505;21.4583;9.2065;12.9601
0.5;4.0369;5.875;10.5536;12.5914;7.2845;10.5128;6.9199;17.4512;9.9651;9.3696;22.342;8.8509;13.9374
0.5;4.0288;6.3585;9.612;12.6471;6.6541;10.7957;6.82;16.3452;10.6083;8.4965;22.0755;8.6032;14.8782
0.5;4.0106;5.9938;8.9809;13.7424;6.1113;10.5886;6.3142;16.4254;11.1461;8.4751;20.5163;8.2223;15.3114
0.5;4.1698;6.2972;9.5639;13.2146;7.4202;10.2206;6.0481;17.6394;10.6574;8.3382;20.407;9.3861;15.0345
0.5;4.3642;5.9847;9.5755;11.4295;6.0522;10.4282;5.5818;17.9682;10.4593;7.9268;20.1213;9.4276;15.5827
0.5;4.2184;7.149;10.2085;10.8561;8.5376;10.5353;5.3986;16.2596;9.9089;8.45;18.9168;9.4122;13.8829
0.5;3.9787;7.9876;10.3349;12.1072;8.7465;10.1913;5.8217;15.339;9.998;7.4589;18.2237;8.7339;13.6644
0.5;3.5485;8.502;9.6233;12.8078;9.9665;11.4466;6.0756;14.6454;10.0343;7.1028;17.3849;8.7551;12.9104
0.5;3.306;8.3578;11.88;12.8642;9.4783;10.9527;5.413;14.5796;10.1599;6.7306;17.759;8.0418;14.027
0.5;3.5223;7.5794;13.4741;12.8081;9.9388;11.4054;5.5709;13.8655;10.1617;7.5198;17.9522;8.1201;13.9242
0.5;3.8855;7.5866;11.7738;12.5336;9.9818;9.9205;5.6282;14.3208;9.9534;7.9545;18.4955;8.3778;12.8312
0.5;3.9376;7.4356;12.4524;11.9322;10.18;10.1856;5.0373;15.0682;9.9102;8.3762;17.5351;7.9902;14.7673
0.5;4.4021;6.9915;12.2566;10.6466;10.2251;9.3135;4.9707;14.2226;9.4944;7.6053;17.1157;8.3736;14.1749
0.5;4.9716;6.7488;11.7347;12.5648;10.2991;9.1364;5.6618;14.9833;9.1914;8.4719;16.8644;9.1968;13.9506
0.5;4.538;6.4942;12.7169;12.5029;9.1846;7.912;6.2129;15.5698;9.3242;8.2068;15.7476;9.3691;13.5476
0.5;4.5201;6.7207;13.3509;12.0691;8.3494;10.9572;6.3398;13.4043;10.0273;6.6669;17.6465;8.4517;12.9048
0.5;4.2699;7.0284;13.1241;11.5596;9.8763;16.7312;6.6525;12.802;10.4278;6.0572;18.0216;9.2643;12.811
0.5;4.3515;6.8811;12.1702;12.7541;8.7414;21.1396;7.0854;12.1349;11.2149;6.5579;17.634;9.1868;13.6252
0.5;4.825;6.3763;13.8568;13.4517;11.1079;22.4112;7.1267;12.9297;11.1395;7.064;17.5909;9.1579;14.7231
0.5;4.8223;6.498;12.2707;13.4631;10.4716;21.1011;6.1439;12.9174;10.188;8.8677;18.4458;9.2148;15.3092
0.5;4.7333;7.2365;11.6254;13.5589;11.8894;21.3029;6.2366;13.6158;10.2664;10.6335;17.3562;9.835;15.3504
0.5;4.2833;6.8887;12.0912;13.8113;10.6359;22.0252;6.8246;12.5173;10.2096;11.1888;16.5253;10.6586;15.8942
0.5;4.3058;6.8078;13.4624;13.2969;12.5765;23.6111;6.5961;13.2164;10.5333;12.3289;16.0725;9.6245;15.3203
0.5;4.0118;7.0804;13.7271;13.4584;10.6707;24.8668;7.2669;13.2117;10.2723;11.8286;15.8993;10.5875;15.5728
