odour stim;12/11/2020 Male5;09/12/2020 Male8;11/12/2020 Female4;11/12/2020 Male7;14/12/2020 Female2;14/12/2020 Female9;08/02/2021 Female4;08/02/2021 Male7;08/02/2021 Female8;09/02/2021 Male2;09/02/2021 Female7;09/02/2021 Male8;09/02/2021 Female9;10/02/2021 Male1
;60V-30V;60V-30V;60V-30V;60V-30V;60V-30V;60V-30V;60V-30V;60V-30V;60V-30V;60V-30V;60V-30V;60V-30V;60V-30V;60V-30V
0.5;14.3266;7.7546;9.8718;13.8685;21.3668;39.7075;5.2381;23.6761;12.6748;17.5342;13.7645;5.4218;5.7048;18.261
0.5;15.7749;7.6892;10.0948;14.1725;20.1736;38.0775;5.2636;24.595;12.2509;18.5473;14.5498;5.041;4.9973;21.2508
0.5;14.3578;7.6921;10.8539;13.8083;22.937;38.9635;6.0447;25.5969;13.8351;16.3073;16.1138;5.4553;5.1869;21.5616
0.5;12.9372;7.1949;12.1042;16.3044;24.2169;37.3622;5.8104;22.9791;15.4554;18.4988;13.8643;5.5155;4.7484;18.0731
0.5;12.6489;7.706;12.8787;14.3849;22.0116;40.251;5.6159;25.3633;14.6854;17.8859;14.6847;5.2128;4.4533;20.9074
0.5;13.1068;7.3123;11.4204;16.5302;20.8409;37.0176;5.5401;25.3276;13.4494;16.7689;14.4231;5.4976;4.4796;23.449
0.5;15.0558;7.4276;10.2482;16.7376;21.397;37.7377;5.5521;27.1493;14.3359;15.3231;15.2383;5.8673;4.9319;19.7529
0.5;13.914;7.3102;11.0037;14.001;23.5542;36.4373;5.0899;27.2384;15.2471;16.0968;14.1573;5.5919;4.8771;18.2851
0.5;13.64;7.3233;10.1567;14.5629;22.6493;43.6151;6.2185;24.8766;14.1434;13.8062;14.9072;5.7626;5.2056;21.6832
0.5;13.8991;7.4335;10.8375;12.8441;21.5893;38.7353;5.904;21.4265;14.4608;15.6222;12.2904;5.988;5.3113;18.283
0.5;15.3066;7.4376;10.4801;13.5685;19.9794;45.4459;5.6229;23.3762;15.4714;13.6174;14.8845;5.928;5.5761;12.3044
0.5;16.4402;7.4307;11.6667;14.8876;25.1578;44.5975;5.4744;23.441;16.303;13.8637;14.6241;5.7334;4.9268;14.5995
0.5;15.1443;7.2032;11.452;17.5655;23.6293;46.78;5.2724;22.3994;15.1564;13.1455;14.6311;5.7587;4.7161;16.1499
0.5;16.773;7.3468;11.5907;16.1523;22.419;39.829;5.9524;21.5717;15.2007;15.3651;14.6189;6.2211;4.75;14.5692
