odour stim,29/09/2020 Female4,29/09/2020 Male6,30/09/2020 Female2,30/09/2020 Male4,30/09/2020 Female7,16/10/2020 Female4,21/10/2020 Female3,16/10/2020 Female4,30/10/2020 Male3,02/11/2020 Female3,08/11/2020 Female5,25/02/2021 Male5
,30V-60V,30V-60V,30V-60V,30V-60V,30V-60V,30V-60V,30V-60V,30V-60V,30V-60V,30V-60V,30V-60V,30V-60V
0.5,1.3679,5.8684,2.6048,1.0942,2.517,5.2309,6.8842,2.9477,5.973,2.0959,1.904,3.1061
0.5,1.4786,5.9094,2.7096,1.0099,2.6317,4.9888,6.9973,3.1123,6.8005,2.2373,1.912,3.1671
0.5,1.3174,6.4953,2.5387,1.1294,2.4735,4.908,7.6309,3.1231,6.6268,2.0121,2.1998,3.1288
0.5,1.4712,6.2355,2.6153,1.105,2.7137,4.8305,6.5666,3.3277,7.2918,2.4646,2.1902,3.2761
0.5,1.5545,6.96,2.6655,1.1122,2.5202,4.6743,7.0184,2.5434,6.6542,2.5532,2.1228,3.098
0.5,1.6195,7.5789,2.5842,1.0247,2.7281,4.7538,6.4897,2.4515,7.1295,2.7467,2.1997,3.2051
0.5,2.2055,8.0656,2.6138,0.9337,2.8928,4.861,7.8137,2.4107,6.8424,2.9255,2.31,3.6399
0.5,2.6928,7.071,2.6403,0.8753,2.6846,4.6009,7.7592,3.2539,7.0986,2.9382,2.3621,3.2639
0.5,3.0685,7.1214,2.6192,1.0196,2.5314,4.9311,7.8676,3.0199,6.6621,2.7208,2.6415,3.3049
0.5,3.3041,7.3271,2.4769,1.0061,2.8667,4.692,7.9,3.7442,7.1972,2.6018,2.2709,3.0917
0.5,3.5919,7.365,2.636,1.0143,2.6725,4.5496,7.2052,2.9072,6.7887,2.6636,2.3006,2.9963
0.5,3.8591,7.4878,2.4463,1.0844,2.4199,4.5521,7.5376,3.3183,7.1006,2.5771,2.5327,3.2294
0.5,4.0583,7.3945,2.6451,1.0408,2.5642,4.5638,7.1521,3.664,6.8942,2.8222,2.2717,3.4
0.5,4.4077,7.6329,2.7116,0.9217,2.4181,4.4214,6.7643,3.0674,7.4585,2.6531,2.3969,3.3105
0.5,4.4716,7.9329,2.8417,1.0731,2.3604,4.6183,7.3402,2.9638,7.2008,2.75,2.1769,3.1134
0.5,4.4574,7.4934,2.5872,1.0781,2.431,4.4201,7.6152,3.4313,6.7298,2.5334,2.5204,3.1618
0.5,4.5343,7.9782,2.6357,0.9907,2.421,4.7224,7.2593,3.2326,6.7476,2.4757,2.3236,3.0789
0.5,4.6766,7.7329,2.4312,1.14,2.4128,4.7899,7.3202,3.041,6.4612,2.2831,2.0258,3.2537
