odour stim;12/11/2020 Female1;12/11/2020 Female2;12/11/2020 Male7;12/11/2020 Female8;13/11/2020 Female2;13/11/2020 Male1;13/11/2020 Male5;13/11/2020 Male6;13/11/2020 Female11;11/12/2020 Male2;15/12/2020 Female2;08/02/2021 Male6;08/11/2020 Male4
;90V-45V;90V-45V;90V-45V;90V-45V;90V-45V;90V-45V;90V-45V;90V-45V;90V-45V;90V-45V;90V-45V;90V-45V;90V-45V
0.5;5.9234;3.509;13.2147;6.8529;6.1474;5.7386;20.1397;5.2839;8.0855;16.4886;14.9932;24.8016;21.4768
0.5;5.862;4.282;12.7298;6.2622;6.6241;4.7693;18.5447;4.9726;9.2529;15.2388;14.4253;23.1383;18.4981
0.5;6.3937;3.815;14.3924;6.3158;7.9273;4.6888;19.2786;5.4836;9.2602;13.2223;16.1777;21.0622;19.047
0.5;5.901;4.5244;14.6398;6.3058;7.73;4.624;21.137;5.5782;8.3373;13.186;17.7908;21.0816;18.6143
0.5;6.4129;4.3118;15.8519;6.6055;6.6192;4.749;20.7512;6.2337;7.4699;13.6274;14.2095;22.3469;18.1194
0.5;5.9224;3.8834;14.3067;6.7595;8.1368;5.2088;18.7806;6.04;8.0706;15.4263;13.924;21.4595;18.0722
0.5;5.8096;4.6939;15.2106;6.0687;7.5799;5.0819;19.6481;5.2209;7.8022;14.8123;13.0915;24.9086;19.7656
0.5;7.5842;4.7889;13.7927;5.9014;7.1618;5.5369;16.92;5.4789;8.1646;13.5201;12.3347;23.6513;18.1313
0.5;6.5696;4.3745;13.4203;6.0996;6.8465;4.6972;15.1566;5.243;8.7309;13.8388;11.4448;24.0078;15.7419
0.5;6.284;4.3739;13.4195;5.861;6.1614;4.9068;16.1988;5.228;9.8481;13.2892;12.854;25.2021;13.7683
0.5;6.8598;4.9063;12.8649;6.2933;6.5362;5.54;13.7782;4.9279;9.2788;12.8396;12.3431;26.2483;13.6031
0.5;7.0775;5.5169;13.2638;5.7896;6.741;5.5099;12.141;4.7783;9.4824;11.7457;11.8989;25.6151;14.0562
0.5;7.12;5.172;13.6836;5.0669;7.9121;5.5957;10.2616;4.8597;9.1866;14.1697;11.5136;24.6522;13.0005
0.5;6.2581;4.5235;12.8526;4.9938;6.9354;5.8185;11.1961;4.82;8.897;14.488;9.9101;23.114;13.4669
0.5;6.6637;4.3829;13.9497;5.895;7.5093;6.09;10.4528;5.3704;7.9861;12.8021;10.2152;20.325;15.2563
0.5;6.7635;4.6986;12.9626;5.7254;8.1114;5.9119;9.5089;6.4914;9.6258;13.4908;9.6651;22.9572;14.4983
0.5;6.867;4.8138;13.3193;5.2487;8.4867;5.6091;10.0506;6.4518;8.916;14.4118;10.1362;20.6216;14.0588
0.5;7.327;5.1038;14.2448;5.1279;7.6669;5.2684;9.1885;7.0234;9.0106;15.9607;10.8521;22.1095;14.5276
0.5;6.8834;4.3657;14.069;5.0785;7.2257;5.2882;9.5281;6.3181;9.4699;15.3457;9.5207;22.2637;12.9111
0.5;7.429;3.7045;13.1666;5.8536;8.4282;5.1496;9.9762;6.581;8.3126;14.425;9.3962;21.7171;14.6784
0.5;7.0335;4.1924;13.5534;5.4892;8.5419;6.6114;9.5821;7.2833;7.5324;13.129;9.4264;19.8621;13.6369
0.5;6.1958;4.8494;13.0644;4.7637;7.461;5.9856;9.0369;6.7259;8.9474;12.3192;9.1085;22.644;12.26
0.5;6.7359;4.8294;13.0361;4.2498;7.6512;5.9309;7.9553;6.092;8.4245;13.9611;8.7446;22.337;12.2897
0.5;7.2736;4.1423;14.4908;4.1084;8.8383;6.2271;7.3987;5.4028;7.7849;13.0144;7.6275;20.5696;13.031
0.5;7.5761;3.9747;14.2768;3.7279;8.8368;5.2606;6.5993;5.0256;7.8311;11.8453;9.2431;23.9668;14.0684
0.5;7.1626;4.033;13.1543;3.6705;8.5567;5.2628;6.283;5.8458;8.8009;13.2758;8.1484;26.78;13.8089
0.5;7.6574;3.6583;13.3208;3.3551;8.8859;5.8713;7.4406;4.8066;9.7334;11.7686;8.0919;26.0593;13.4463
0.5;8.4746;4.0442;14.8592;3.6159;7.5364;5.44;6.7904;5.3155;8.9989;12.9462;8.0895;22.5145;12.5214
0.5;8.475;4.1708;16.19;3.3819;9.4424;5.4877;6.846;4.9753;9.3999;14.4556;8.8154;18.9363;13.5054
0.5;9.1766;4.3159;14.973;3.0634;8.9942;5.2397;7.9724;4.5281;9.1443;15.2426;9.6138;18.8161;13.5653
0.5;9.9416;4.1073;13.4165;3.0234;9.3111;5.7377;6.9726;4.5316;8.9021;13.6388;8.9436;17.164;12.538
0.5;8.655;4.0853;13.7238;2.8745;8.3148;5.2241;6.7398;4.1053;8.9485;13.0945;9.2212;18.8264;13.0487
0.5;9.9919;4.3191;14.6915;3.1009;7.9488;5.4484;6.3179;4.4032;8.8722;13.4089;8.8827;20.1966;12.4333
0.5;8.4372;4.7027;14.6406;3.2152;6.9425;5.5142;7.4903;4.1666;8.1098;12.9459;11.1398;19.5128;14.3924
0.5;8.3859;4.306;14.7837;3.7059;8.5841;5.3139;7.4327;4.3541;8.1977;12.5379;11.1971;18.7166;13.0459
0.5;8.543;4.2766;13.5854;3.5818;7.2772;5.5586;6.3331;4.3291;9.0814;12.1311;10.7772;17.6932;12.8584
0.5;9.0497;3.9078;13.1655;3.3353;8.8613;4.9522;7.3914;4.3;9.5887;12.976;10.9723;20.6586;11.3859
0.5;11.5622;4.5038;12.9614;3.2551;8.9587;4.2831;7.0049;4.303;9.0278;11.6948;10.3071;21.7168;11.8919
0.5;11.6014;4.3197;12.6089;3.0653;8.816;3.9061;7.4437;5.0286;9.0688;12.1725;9.7378;22.9457;12.5429
0.5;12.4513;4.6625;13.8096;3.355;10.4743;4.7027;7.3014;4.9953;10.086;13.7931;8.3987;21.7855;12.6926
0.5;10.7097;4.5526;12.951;3.4372;10.6236;4.8938;6.7221;4.7326;9.1705;12.9371;7.9818;22.7565;11.9483
0.5;10.5475;3.9952;13.3404;3.5299;8.9336;4.3048;6.2471;4.4667;8.1695;12.6074;7.8626;22.2901;10.5311
0.5;10.342;4.4916;12.9427;3.4568;7.6914;4.0097;5.9116;4.2648;7.9216;12.3202;7.7647;22.9432;9.6468
0.5;10.1775;3.8462;13.3433;3.2715;6.6932;4.9124;6.8804;5.1824;7.3525;12.2926;8.4292;23.286;9.2371
0.5;9.7672;3.9399;12.2426;2.9923;6.1073;4.8803;6.5823;5.2162;8.4548;13.5955;7.707;23.3435;9.4085
0.5;11.5555;4.6004;13.1948;3.0548;5.8554;4.4924;6.4929;4.7813;9.0405;12.5903;7.4146;24.039;8.5626
0.5;10.6852;4.5292;12.1267;3.4137;5.0673;3.8418;7.1845;4.1611;8.5458;12.5593;7.4296;23.7062;8.683
0.5;10.4525;4.4646;12.5497;3.2501;5.2908;4.1102;6.2631;4.5799;7.6806;11.3727;7.5606;22.3249;10.0017
0.5;10.0498;4.5171;13.8686;3.3446;4.681;3.7371;6.5255;4.4873;8.2893;11.8185;6.8263;20.4839;8.9393
0.5;9.7502;4.5252;12.3701;3.5141;4.5665;4.2993;5.2382;4.4139;7.9961;11.6903;6.27;19.158;9.2614
0.5;10.0487;4.9508;13.1414;3.1944;4.6372;5.1631;5.5383;4.8542;7.1427;10.9744;6.0362;22.3743;10.1816
0.5;8.3713;4.4276;13.6787;3.2783;4.5524;5.172;5.4411;4.0324;6.8924;9.6414;5.3355;21.2748;9.2776
0.5;9.0648;4.6654;13.2331;3.6403;4.9823;5.3417;5.0609;4.2326;6.9912;10.4753;6.4886;21.5211;10.0612
0.5;10.1959;4.4639;12.9015;3.3005;4.7358;5.1847;4.7743;5.2894;7.6161;9.7638;5.7166;25.5707;9.699
0.5;10.075;4.0575;11.916;3.1885;4.5544;5.8057;4.6424;5.3362;8.1108;10.3509;5.7818;23.4969;9.9298
0.5;11.487;3.8186;10.9536;3.4493;4.3425;6.0102;4.8833;5.6145;8.148;11.4134;5.985;17.9031;10.5931
0.5;11.333;4.1097;10.5346;3.2516;4.1974;5.106;5.608;5.3772;9.3297;12.3375;6.3603;19.0586;9.7423
0.5;10.7424;4.871;10.0149;3.1534;3.8726;4.5992;5.3144;5.1131;8.9025;12.0689;8.7199;18.0408;9.1059
