odour stim;30/09/2020 Female3;30/09/2020 Male8;30/10/2020 Female2;30/10/2020 Male9;02/11/2020 Female2;02/11/2020 Male9;02/11/2020 Female11;03/11/2020 Male2;03/11/2020 Male8;04/11/2020 Female2;04/11/2020 Female8;04/11/2020 Female9;25/02/2021 Female9
;15V-30V;15V-30V;15V-30V;15V-30V;15V-30V;15V-30V;15V-30V;15V-30V;15V-30V;15V-30V;15V-30V;15V-30V;15V-30V
0.5;4.7504;8.7883;1.5577;2.316;1.8365;5.6281;6.4187;2.1379;3.2137;1.4765;4.0644;7.8485;3.8758
0.5;4.6398;7.9633;1.5388;2.4224;1.6434;5.9587;5.772;2.1421;3.2035;1.6432;4.8896;7.8177;3.9085
0.5;4.4706;7.9681;1.3343;2.6823;1.9322;5.7214;4.7451;2.034;3.6179;2.066;4.6766;7.7562;4.0389
0.5;4.7511;8.298;1.5607;2.4778;1.6883;5.374;4.4586;2.0933;3.5614;2.4539;4.2306;7.4406;4.0196
0.5;4.6169;7.2723;1.6091;2.4737;1.7807;5.3031;4.4403;1.8841;3.7868;2.9888;4.0947;7.5197;4.3158
0.5;4.7873;6.8964;1.6572;2.6378;1.7516;5.4299;4.3067;2.2894;3.8751;2.8375;4.0388;7.5347;3.8344
0.5;4.5238;7.4146;1.8649;2.5156;1.7809;5.8507;4.162;2.0395;3.8858;2.5215;3.7631;7.3512;3.7565
0.5;4.4781;6.8129;1.8778;2.827;1.8708;5.9928;4.2027;2.3256;3.9839;3.1701;3.6462;7.0623;4.033
0.5;4.3753;7.2281;1.7637;2.4437;1.8435;5.6969;4.4938;2.2478;3.8226;3.518;3.8052;7.1561;4.1665
0.5;4.0979;6.7929;1.8662;2.2611;1.8993;5.7569;4.7809;2.1316;4.0994;3.9658;4.0326;7.058;4.3579
0.5;4.3304;5.9858;1.9275;2.4937;1.768;6.0337;4.4852;2.0961;4.2182;4.7462;4.5519;6.8888;4.0477
