odour stim,19/03/2021 Male 2,19/03/2021 Female 3,19/03/2021 Female 4,19/03/2021 Female 5,22/03/2021 Female 5,22/03/2021 Female 8,22/03/2021 Female 9,22/03/2021 Female 10,22/03/2021 Female 12,22/03/2021 Female 13,29/03/2021 Female 1,29/03/2021 Male 2,29/03/2021 Female 4,31/03/2021 Female 2,31/03/2021 Female 7,31/03/2021 Female 8,31/03/2021 Female 11,31/03/2021 Female 12,08/04/2021 Female 4,08/04/2021 Female 6,08/04/2021 Female 11,28/06/2021 Male 17,02/07/2021 Male 3
,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT
0,20.466,29.38,10.3353,4.3538,17.3563,11.2574,13.9772,8.5621,6.3793,9.3008,8.0696,5.696,4.0124,3.0942,1.0611,2.5183,15.4297,5.2578,10.4527,8.2648,5.9173,9.8732,2.4061
0,20.0502,32.153,10.3867,4.1517,16.8571,10.968,14.4282,8.6784,6.4607,9.3638,7.9091,5.6643,3.8588,3.0932,0.9483,2.3759,14.6617,4.9094,10.1889,8.9549,5.654,10.7988,2.3024
0,19.6633,33.6148,10.1512,3.8611,16.6341,10.7098,14.4912,8.3838,6.3313,9.571,8.052,5.0074,4.0584,3.1576,1.4112,2.4915,14.2115,5.0484,9.2471,8.5762,5.4153,11.9001,2.5359
0,19.3323,29.376,9.9689,3.8889,16.4463,10.5414,14.0303,8.6754,6.0882,9.4946,7.3687,4.9814,4.2193,3.4677,1.155,2.2567,14.7665,4.9327,9.5474,8.7105,5.4982,12.8759,2.4968
0,19.4016,34.1553,10.357,3.8208,16.9324,10.8972,14.8558,9.0423,6.2311,9.8767,7.0318,4.9671,3.8876,2.8502,1.2913,2.584,13.2576,4.5792,8.2381,8.3724,5.8714,12.6438,2.5603
0,18.3008,34.9202,10.1601,4.1114,16.5612,11.1245,15.0782,8.7311,5.9242,9.8276,7.2235,5.4868,3.8467,3.4421,1.244,2.5095,13.8252,4.9674,7.8192,8.9683,5.8262,12.3444,2.6509
0,19.3345,32.9888,10.5207,3.7003,17.7031,10.805,14.4008,9.2412,5.8611,9.6234,7.0775,5.1701,3.6504,3.1627,1.3878,2.5481,14.8215,5.237,7.7705,9.3053,6.6755,12.6925,2.7348
0,19.5141,35.8443,10.3136,3.7756,17.4293,10.5775,14.774,9.3885,6.0628,9.3346,7.3473,5.3683,3.8644,3.5296,1.3532,2.4779,14.7755,4.8564,7.6717,9.0936,6.2901,12.5745,2.6385
0,19.6563,34.8964,10.0303,3.9752,17.2922,11.0319,15.0322,9.8181,5.9421,9.3067,7.3589,5.796,4.2396,3.0666,1.0167,2.4941,15.6169,5.0289,7.2705,8.9608,6.6385,13.0165,2.6805
0,20.0102,36.213,9.6104,3.5367,16.6832,10.8824,15.0938,9.3929,5.993,9.5446,7.4394,5.364,3.9511,3.013,1.2604,2.4535,15.9329,4.9989,7.0495,9.044,6.3038,13.1162,2.415
0,19.2557,35.4151,9.3332,3.4683,16.283,10.9241,14.6765,9.2178,5.8583,9.1261,7.6616,6.0957,3.8857,3.191,1.5331,2.6492,16.267,5.0653,6.7522,8.5832,6.195,13.9502,2.5076
0,19.2913,33.1105,8.5623,3.905,17.0759,10.7057,15.2218,9.4865,5.7357,9.0623,7.4258,5.9856,4.0443,2.9078,1.2634,2.85,16.4083,4.8652,7.0393,8.5244,6.2222,13.7014,2.4366
