odour stim;12/11/2020 Female3;12/11/2020 Female4;12/11/2020 Female9;13/11/2020 Male3;13/11/2020 Female4;13/11/2020 Male7;13/11/2020 Female8;13/11/2020 Male9;13/11/2020 Male10;09/12/2020 Female13;11/12/2020 Female1;14/12/2020 Male1;08/02/2021 Female1;09/02/2021 Female6
;0V-90V;0V-90V;0V-90V;0V-90V;0V-90V;0V-90V;0V-90V;0V-90V;0V-90V;0V-90V;0V-90V;0V-90V;0V-90V;0V-90V
0.5;7.4922;18.8275;7.6888;6.4757;13.6089;12.1089;13.9519;10.7124;10.8525;9.4039;35.7829;6.1547;6.8782;11.4588
0.5;7.22;18.663;7.8093;6.0069;12.0594;12.3027;14.354;10.2623;11.0652;9.326;37.5522;6.2382;6.7884;11.4522
0.5;8.7526;21.086;7.1216;6.6377;10.5808;12.2793;14.4637;9.8623;10.8649;9.6689;37.4833;6.2573;7.9009;12.9839
0.5;7.8156;23.4499;7.9793;5.9022;9.8083;12.0887;12.8321;9.5936;11.476;9.0807;31.8626;6.3293;9.1401;12.2296
0.5;7.9091;21.2413;9.0732;6.1983;8.9447;12.6377;13.8146;9.8568;9.7982;11.4061;36.69;6.0246;8.8068;12.4603
0.5;8.0244;19.2388;9.4953;6.6392;8.0572;11.7632;13.166;9.0947;10.5271;11.519;34.3616;6.1629;9.0495;12.2008
0.5;9.0589;21.8774;8.8456;7.6842;7.6096;12.1945;14.5028;9.3789;10.2618;11.9249;33.8071;6.1209;8.4375;12.7385
0.5;9.6894;19.4745;10.03;7.9492;7.3102;10.883;14.1372;8.5895;9.222;11.6572;29.1103;5.754;7.7544;13.694
0.5;11.1276;21.3044;9.8285;7.8973;8.0333;11.9153;13.6603;7.805;11.3538;10.9418;31.7985;5.9889;7.0891;12.5573
0.5;12.9422;19.3352;8.5277;8.079;7.756;12.4975;12.9343;8.3137;11.7835;11.1079;31.7293;6.1492;6.4419;12.3378
0.5;12.794;20.641;7.6735;8.2051;8.13;13.5616;12.8922;9.1973;10.4822;12.1093;37.0621;5.8004;7.0174;13.1315
0.5;12.5076;18.8385;7.0592;7.5365;7.6598;12.7695;14.2894;8.9133;9.9007;12.0534;33.4016;5.9036;7.2299;13.6596
0.5;12.3319;18.7972;6.3555;7.1593;8.2331;12.4251;14.6232;9.1048;10.8535;12.5546;32.5606;5.7761;7.8234;15.9104
0.5;11.6946;17.5685;6.1866;7.8701;8.709;13.1303;13.6757;9.5166;10.8732;13.6386;31.8453;5.8566;7.7403;15.3915
0.5;12.7064;16.0894;5.857;7.0917;7.784;12.0106;12.6384;9.2871;10.2666;12.86;33.5523;6.0143;9.2649;14.1164
0.5;14.3595;18.3345;5.7234;7.4543;7.336;11.5587;13.6408;8.8014;10.3177;11.7028;36.9149;5.8746;8.7924;14.9083
0.5;15.6148;21.226;5.2628;7.0387;7.1377;12.814;14.6207;9.6762;10.4039;11.7699;35.9942;5.825;8.1037;16.288
0.5;15.3792;23.5408;5.213;6.6973;8.9207;12.5382;12.0665;8.737;10.9483;12.9234;33.5937;5.9418;7.2209;14.3295
0.5;16.4716;20.5995;5.8994;7.1007;9.1131;15.4394;11.5326;9.126;10.9969;13.4113;32.2519;5.9803;6.7403;15.7656
0.5;16.4269;19.1918;5.5603;7.4734;8.242;13.4972;10.5915;8.7085;11.1873;14.3168;31.538;5.6996;6.474;15.7033
0.5;14.3675;20.8738;5.2428;7.297;8.06;14.9146;11.2569;8.6061;9.9488;12.7782;30.6199;6.0805;6.3981;16.0419
0.5;14.9308;18.0206;5.3971;8.6252;8.6413;14.9693;11.7674;8.5015;11.1056;13.0212;28.8346;6.225;7.1228;13.8515
0.5;15.1317;16.5262;5.6524;7.4592;7.9858;15.5277;10.7684;8.8693;9.8859;12.3501;29.2157;5.8979;7.519;16.5725
0.5;16.5497;16.2055;6.0165;8.2995;7.1307;13.9882;11.8689;8.9923;9.2474;11.8585;30.2584;5.9225;7.1492;15.652
0.5;17.0214;18.4069;5.6015;9.0087;7.7395;12.572;10.8397;8.9624;10.4397;13.0699;28.8985;5.8832;6.6921;18.8502
0.5;15.6905;21.716;5.5187;8.8473;7.3947;11.1009;10.6072;9.0872;10.1296;11.6367;28.6367;6.0307;6.2621;17.6252
0.5;16.3425;23.0286;4.7552;8.5113;6.5126;10.7386;11.5307;8.4649;10.8573;11.0578;28.9197;6.1549;7.0151;16.1424
0.5;14.4917;21.0818;4.944;9.2908;6.1968;13.9533;10.9745;8.904;11.3481;11.2957;29.6192;6.1223;7.5314;17.0424
0.5;15.4321;18.7699;4.7825;8.5755;5.7169;13.9952;11.0982;9.2352;11.24;11.3064;30.5332;6.1507;7.1703;17.1247
0.5;14.3082;18.3201;4.4471;9.2248;5.4999;12.5887;10.8357;9.1017;9.8372;10.0329;35.4976;5.9495;6.7553;16.41
0.5;12.6898;18.097;4.6303;8.1634;6.3224;11.987;9.7498;9.1249;9.5821;11.201;31.7767;6.1871;6.285;17.3648
0.5;15.6419;17.6863;4.6144;8.2115;6.0092;15.1221;9.1512;9.1227;8.4709;10.2965;34.8149;6.0903;6.0206;17.3734
0.5;15.7903;19.9335;4.3001;7.5302;5.4368;16.0262;10.5473;9.0219;9.5903;10.1502;31.8874;6.0876;6.543;15.2105
0.5;15.2026;17.9753;4.2381;9.0919;5.2537;14.8288;11.1784;9.9068;11.7893;11.1927;31.3466;5.9841;7.3699;13.9037
0.5;17.1576;17.6834;4.327;8.3107;5.8196;13.3515;11.108;10.4228;12.839;10.9287;30.5981;6.0722;8.9253;14.8501
0.5;18.1919;17.7076;4.159;8.278;6.4769;11.4852;11.1386;9.2327;11.5334;10.766;29.8485;6.2098;8.3387;16.5638
0.5;17.7502;20.0238;4.2855;7.3352;6.1137;12.4557;11.3481;8.3955;11.5495;12.0019;25.7336;6.0972;7.7909;14.5482
0.5;18.1173;17.5403;4.0619;6.9925;5.9655;14.8011;10.6657;8.2439;12.7537;13.4938;29.1678;6.0323;7.539;15.6294
0.5;15.6486;15.577;5.3124;8.5403;5.4121;17.488;10.4456;8.4578;11.56;12.3414;29.0929;5.9873;7.6637;15.2838
0.5;17.3987;17.7056;5.1906;8.4921;5.1918;16.3475;11.6282;8.6886;10.2638;11.2681;31.7817;6.286;7.2949;15.5807
0.5;19.7297;18.0026;5.2437;9.2235;5.1174;14.5878;12.341;8.6208;9.9618;11.9882;29.6434;6.1595;7.0285;14.5996
0.5;17.9968;16.6809;6.8743;7.6937;4.7956;13.6495;11.3306;8.645;7.8917;12.7626;29.3127;6.4238;6.5262;15.4616
0.5;17.8048;16.6364;6.2118;8.6686;5.3268;14.9326;11.3943;8.7686;9.278;12.5954;26.6029;6.1076;8.0005;13.4123
