odour stim,29/04/2021 Male6,29/04/2021 Female10,30/04/2021 Male2,30/04/2021 Female4,30/04/2021 Male6,30/04/2021 Female7,30/04/2021 Male10,30/04/2021 Female12,03/05/2021 Female5,03/05/2021 Female6,03/05/2021 Female8,03/05/2021 Male10,05/05/2021 Male2,05/05/2021 Female3,07/05/2021 Male2,07/05/2021 Female3,07/05/2021 Female4,07/05/2021 Male6,07/05/2021 Female8,19/07/2021  Male2,22/07/2021  Male4
,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT
0,4.5289,4.6155,6.2202,2.6623,4.0443,4.8208,2.02,4.3772,3.863,3.5481,5.5359,5.3914,3.4018,2.5629,2.3786,2.2461,2.5398,2.4304,2.7493,3.0886,10.5428
0,4.7427,4.6785,6.0465,2.6222,4.0417,4.8231,2.1719,4.5325,4.0051,3.867,5.3598,5.2219,3.0704,2.4802,2.401,2.1485,2.5743,2.5894,2.5795,2.8798,10.5949
0,4.6057,4.878,6.1458,2.6795,4.1996,4.8493,2.2487,4.5333,4.1405,3.804,5.5471,5.0306,3.3653,2.404,2.4468,2.1542,2.644,2.4128,2.6709,3.1514,10.6966
0,4.7425,4.7315,6.1034,2.6149,4.0135,4.6716,2.2013,4.3584,3.9058,4.2365,5.3451,4.9662,3.3298,2.4739,2.3411,2.1178,2.4238,2.7256,2.8382,3.1565,10.6475
0,4.6549,4.7451,6.3258,2.5341,3.9611,4.4586,2.1958,4.5315,4.1685,4.3931,5.9353,5.0159,3.3716,2.5603,2.4437,2.2233,2.4749,2.8291,2.8186,3.1079,10.1831
0,4.5999,5.0496,6.4123,2.6661,3.8871,4.3447,2.2918,4.4047,4.0788,4.5097,5.6027,5.0334,3.1912,2.6483,2.5198,2.3252,2.4161,2.7939,2.7472,3.1591,9.7931
0,4.7609,4.9879,6.5345,2.5697,3.5942,4.7412,2.287,4.8419,4.0888,4.1119,5.448,4.7347,3.2212,2.8151,2.3366,2.1434,2.4539,2.9381,2.8081,3.0962,9.7745
0,4.7524,4.7875,6.356,2.7451,3.4253,4.4953,2.4202,5.0903,3.9866,4.2832,5.8804,4.6906,3.3419,2.5691,2.6078,2.1745,2.4306,2.7548,2.6998,3.146,10.6307
0,4.4706,4.7744,6.4728,2.5647,3.5144,4.6049,2.3301,5.1149,4.0138,4.6838,5.7525,4.7714,3.3546,2.5662,2.6461,2.3655,2.3277,3.0781,2.6935,2.99,10.3739
0,4.6941,4.9552,6.4559,2.5864,3.4181,4.596,2.4268,5.0392,3.9521,4.6101,5.6662,4.6942,3.1367,2.5541,2.244,2.2613,2.3292,2.6757,2.7497,3.2135,10.6053
