odour stim;16/10/2020 Male3;30/10/2020 Male6;30/10/2020 Male9;02/11/2020 Female7;02/11/2020 Female8;03/11/2020 Female5;03/11/2020 Male6;03/11/2020 Male10;04/11/2020 Female4;04/11/2020 Female5;08/11/2020 Male1;08/11/2020 Female2;11/11/2020 Female1;11/11/2020 Female2;11/11/2020 Male3
;90V-45V;90V-45V;90V-45V;90V-45V;90V-45V;90V-45V;90V-45V;90V-45V;90V-45V;90V-45V;90V-45V;90V-45V;90V-45V;90V-45V;90V-45V
0.5;3.0193;2.7323;3.319;2.4353;5.2903;2.432;4.0801;4.6211;3.2815;1.8376;2.1878;0.7558;3.6671;3.2744;3.2983
0.5;2.6884;2.6195;2.89;2.7748;5.1581;2.407;4.2991;5.0765;3.1055;1.6493;2.3101;0.9146;3.7747;3.3343;3.4678
0.5;2.6007;2.7793;2.7372;2.7811;5.0507;2.5606;4.0167;5.4529;2.8678;1.8486;2.093;0.8439;3.7062;3.4178;3.1258
0.5;2.6114;2.7174;3.2889;2.5557;5.1678;2.6389;4.2782;5.8392;2.4597;2.5201;2.5465;0.8476;3.8985;3.6152;2.7452
0.5;2.8084;2.7687;3.3521;2.5378;4.9242;2.5117;4.4476;5.7638;2.2976;2.8992;2.4258;0.9295;3.8419;3.511;2.8888
0.5;2.7901;3.1003;3.7067;2.5057;5.6293;2.5015;4.7387;5.6448;2.4702;3.1715;2.3393;0.9461;3.7366;4.2203;3.4536
0.5;2.8378;2.7259;3.8654;2.3411;5.0732;2.5653;5.3102;5.6519;2.4851;3.5998;2.3243;0.8442;3.6665;4.4281;3.7765
0.5;2.8346;2.6585;3.756;2.0851;5.3576;2.3812;5.3719;6.3161;2.6831;3.9288;2.1704;0.9453;3.6219;4.5807;3.7177
0.5;2.8747;3.2645;3.8101;1.6982;5.8921;2.3231;5.5345;6.2068;2.5912;3.8913;2.4633;0.9421;3.7386;4.7685;3.7653
0.5;2.9792;3.8476;3.7553;2.0473;5.95;2.2765;5.3227;6.1347;2.6522;4.3444;2.4598;0.8326;3.8761;4.5269;4.2078
0.5;2.7881;4.075;3.8827;1.5896;6.2337;2.1804;5.0949;5.7712;2.4844;3.9797;2.3493;0.8866;4.2307;4.5861;4.3101
0.5;2.5789;4.3834;3.3022;1.9057;5.9725;2.3923;4.6858;6.6574;2.701;4.1319;2.2687;0.8532;4.3508;4.6004;4.2133
0.5;2.6484;4.3817;3.3263;2.1595;6.0186;2.624;4.9359;6.4523;2.7597;3.9084;2.385;0.911;4.1833;5.2916;4.0454
0.5;2.4429;4.4832;3.438;1.7802;5.5391;2.5323;4.5703;6.5306;2.7737;4.0058;2.4048;0.7721;3.864;5.0682;3.8697
0.5;2.5774;4.5031;3.0682;1.8819;5.4974;1.9808;4.7367;6.2164;2.8698;3.9768;2.2844;0.8813;3.9518;5.23;3.7968
0.5;2.5476;4.3254;2.8903;1.9687;5.5393;2.1888;4.6857;6.7253;2.8001;3.7779;2.2685;0.8765;3.9861;5.2342;3.8428
0.5;2.3807;4.4538;3.2766;1.8701;5.3776;2.0273;4.4919;6.4428;2.8129;4.1523;2.053;0.6748;3.9386;5.1117;3.7068
0.5;2.6121;4.5457;3.4789;1.9822;5.1496;2.3462;4.5498;6.3502;2.8215;3.7005;2.2085;0.7702;3.9623;5.0943;3.5914
0.5;2.3721;4.4635;3.5862;2.3045;5.4264;2.6006;4.6398;6.3955;3.0352;3.6513;2.3054;0.7504;3.7124;4.8288;3.3018
0.5;2.5268;4.237;3.5382;2.1233;5.5242;2.5931;4.1316;6.6834;3.1929;3.3528;2.1718;0.9012;3.6601;5.1033;3.6511
0.5;2.7592;4.4986;3.2591;2.2766;5.2055;2.5693;4.4214;6.8853;3.1454;3.3273;2.4339;0.9217;3.7594;5.0425;3.4246
0.5;2.9127;4.3795;3.2777;2.2304;5.9221;2.7509;4.2073;6.8007;3.4781;3.2256;2.4034;0.8795;3.5366;4.972;3.7656
0.5;2.8004;4.0703;3.0734;2.3195;6.3389;2.6808;4.4602;6.55;3.4385;3.6223;2.0059;1.2223;3.7334;4.9281;3.6212
0.5;2.6252;4.3125;2.8551;2.1788;5.9881;2.6765;3.9774;6.8559;3.3861;3.3508;2.1311;1.4504;3.4901;4.8053;3.5984
0.5;2.3992;4.637;2.431;2.3409;5.7871;2.4715;4.0334;6.4201;3.6901;3.2411;2.2652;1.8918;3.4897;5.0583;3.6261
0.5;2.7428;4.6356;3.0564;2.2843;5.3428;2.9427;4.0298;6.1368;3.2116;3.372;2.073;2.246;3.5123;4.9725;4.1503
0.5;2.5397;5.0339;3.5035;2.544;5.1528;2.7633;4.1879;6.6145;2.9852;3.0752;2.2245;2.283;3.6573;4.7961;3.9079
0.5;2.6443;4.9649;3.4261;2.981;4.803;2.7212;3.931;7.2116;2.8838;3.1637;2.1596;2.3766;3.401;4.5993;4.2477
0.5;2.9962;4.5995;4.1752;3.0955;4.4925;2.6764;3.8874;6.9863;2.8884;2.8958;2.0556;2.1482;3.4405;4.6169;4.3093
0.5;2.7542;4.241;4.3445;2.7635;4.4454;2.5651;3.9441;6.7821;3.1016;3.0545;2.0525;2.0054;3.2857;4.3093;4.4889
0.5;2.6932;4.4122;4.8274;2.8316;4.7484;2.6144;4.1536;6.5624;2.978;3.2605;2.2005;1.9153;3.3742;4.2653;4.6552
0.5;2.5811;4.3125;4.5911;2.4611;5.0752;2.6264;4.1537;6.9508;3.0514;2.7571;2.1528;1.6813;3.158;4.5809;4.5694
0.5;2.8825;4.289;4.7012;2.5792;4.4118;2.7591;3.9055;6.3986;2.6261;3.0085;2.2499;1.6781;3.2168;4.9502;4.126
0.5;2.8615;4.237;4.4819;2.9894;4.8749;2.8275;3.901;6.3111;2.4725;3.0645;2.3147;2.1083;3.3982;5.1007;4.1491
0.5;2.5696;4.3497;4.6694;2.6558;4.899;3.0058;4.0266;6.2653;2.4541;3.2429;2.1806;2.1621;3.2246;5.1948;4.5492
0.5;2.8815;4.1544;4.5425;3.0267;5.0641;3.0788;4.2596;5.3942;2.3135;2.8882;2.0829;2.1611;3.1224;4.9374;4.1297
0.5;2.7279;4.0479;4.6047;3.6973;4.7872;3.1945;3.8533;6.2929;2.1915;2.9747;2.3483;2.2995;3.3719;5.3874;4.2015
0.5;2.8309;3.7546;4.7734;4.0111;4.7651;3.4199;3.9207;7.33;2.362;3.0456;2.0412;2.0932;3.092;5.2296;4.2259
0.5;2.8456;3.8966;4.9134;4.2947;4.7946;3.0121;4.0494;7.5546;2.2188;2.7875;2.2428;2.3151;3.0626;5.0805;4.1544
0.5;2.7298;3.9245;5.5416;3.6778;4.4728;2.7912;4.1;7.5003;2.3007;2.7407;2.0817;2.5353;3.0974;5.0099;4.034
0.5;2.6701;3.9303;5.4257;3.2111;4.9994;3.0017;4.0339;8.2203;2.029;2.7894;2.2056;2.6112;2.9323;4.7646;4.5727
0.5;2.7132;3.7258;5.4156;3.3643;4.7488;2.9798;3.9632;9.2232;2.0942;3.0776;2.0646;2.6939;3.0524;5.2304;4.1617
