odour stim;30/10/2020 Female4;30/10/2020 Female10;21/10/2020 Male5;02/11/2020 Female4;02/11/2020 Female8;02/11/2020 Male12;03/11/2020 Female3;03/11/2020 Female9;04/11/2020 Female6;04/11/2020 Male3;08/11/2020 Male3;08/11/2020 Male4;25/02/2021 Male4
;45V-90V;45V-90V;45V-90V;45V-90V;45V-90V;45V-90V;45V-90V;45V-90V;45V-90V;45V-90V;45V-90V;45V-90V;45V-90V
0.5;3.7638;2.8753;7.3542;2.9469;0.09918;4.7843;1.8687;3.2614;1.3108;3.7874;2.4836;6.918;7.5251
0.5;3.9727;2.9154;6.7952;3.3195;0.4298;4.7247;2.0186;2.9914;1.2742;3.8746;2.5141;6.726;7.1214
0.5;3.8723;2.9537;6.1805;3.4064;0.5097;4.8805;2.14;3.0592;1.3411;3.7707;2.3978;6.6351;7.3996
0.5;3.6504;3.187;4.8801;3.4672;0.8302;4.8019;2.0849;3.7693;1.2797;3.5196;2.4245;6.5706;7.4376
0.5;4.1131;2.9496;6.0491;3.0155;0.9307;4.4864;2.1384;3.4519;1.2482;3.369;2.3732;6.7694;7.3731
0.5;3.9811;2.904;5.3672;3.0036;0.9654;4.8122;2.1394;3.6031;1.2381;3.5047;2.3257;6.6803;8.0497
0.5;3.5638;2.865;9.3427;2.8655;1.1647;4.946;2.0217;3.4292;1.2311;3.4056;2.5441;6.2319;7.9366
0.5;3.7204;3.1125;5.3192;3.1385;1.1395;4.6017;2.1793;3.6042;1.145;3.4743;2.1754;6.692;8.8075
0.5;3.4237;2.8507;7.303;2.994;0.9294;4.5125;2.226;3.6482;1.2265;3.4501;2.1548;6.5966;8.496
0.5;3.2043;3.0252;5.8529;2.7506;1.0064;4.4801;2.0435;3.6386;1.2424;3.7281;2.2016;6.5656;8.9237
0.5;3.4209;2.7566;5.4918;2.7503;1.037;4.2984;2.3281;3.4091;1.291;3.3468;2.0408;6.6567;8.4758
0.5;3.4102;2.7439;5.4877;2.4374;1.2393;4.4474;2.4089;3.5404;1.7381;3.6122;2.252;6.7535;8.2188
0.5;2.8003;3.0136;6.1201;2.4927;1.0689;4.5527;2.5558;3.7406;1.4941;3.2422;2.2976;7.4623;8.7624
0.5;3.5825;3.0951;5.2721;2.762;0.9594;4.6122;2.4888;3.2203;1.0901;3.7185;2.3622;6.886;9.027
0.5;3.9044;3.0949;6.2796;2.3544;0.9083;4.4179;2.765;3.6635;1.451;3.6343;2.375;7.4612;8.1974
0.5;3.5108;3.4376;5.2441;2.4979;0.6713;4.2828;3.4036;3.736;1.3793;3.71;2.3342;7.6529;8.9557
0.5;3.5015;3.3918;6.3887;2.7977;0.6913;4.3359;3.7843;3.6351;1.8177;3.5389;2.3323;7.6394;8.4386
0.5;3.5141;3.2765;5.038;2.6343;0.4907;4.4012;4.2283;3.3731;1.9974;3.5359;2.3551;7.7918;8.2135
0.5;3.459;3.376;5.9082;2.8512;0.5331;4.7336;4.5313;3.8684;1.997;3.5531;2.3382;7.6227;8.5229
0.5;3.3441;3.2545;5.2558;2.9193;0.5567;4.3075;4.7102;3.6214;1.7752;3.2804;2.2065;7.7112;8.8252
0.5;2.7546;3.3448;5.6563;2.9096;0.464;4.2895;4.9435;3.7311;1.7283;3.469;2.3034;7.4078;8.3283
0.5;2.867;3.5493;5.2627;2.7496;0.6781;4.3037;5.3518;3.5056;2.0123;3.5466;2.3209;7.746;8.1262
0.5;2.8884;3.746;5.388;2.8758;0.5197;4.7868;5.7375;3.4285;1.8614;3.7291;2.3789;8.01;8.0906
0.5;2.936;3.2946;5.007;2.9831;0.6105;4.5524;6.1898;3.5311;1.7768;3.4339;2.2313;7.8421;8.3464
0.5;2.9034;3.0627;5.1301;2.8016;0.7969;4.2557;6.2902;3.2597;1.9231;3.4875;2.337;7.2814;8.0527
0.5;3.3486;3.3268;4.3141;2.9381;0.755;4.1753;6.4139;3.3065;2.1116;3.5982;2.2644;7.9961;8.314
0.5;2.726;3.128;4.5688;2.734;1.0386;4.2583;6.5183;3.2591;1.9246;3.3609;2.2123;8.3629;8.2556
0.5;2.715;3.0946;4.7456;2.8598;1.0498;4.272;6.6084;3.6124;2.0596;3.3981;2.1611;8.5033;8.1145
0.5;2.7977;3.0871;4.5953;2.7152;1.2116;4.2847;6.733;3.1795;1.9471;3.4295;2.2253;8.2447;7.8417
0.5;2.9496;3.4744;4.3839;2.346;1.1749;4.3647;7.1925;3.2907;2.2755;3.2469;2.1053;8.6471;7.8308
0.5;3.2933;3.4222;4.5245;2.4409;1.1085;4.5581;7.0049;2.9503;2.3803;3.2118;1.9635;8.7939;8.0157
0.5;3.6371;3.9791;4.4094;2.6849;1.0754;4.6415;7.0336;2.8092;2.8204;3.0858;1.9386;8.7763;8.0069
0.5;3.6378;4.0241;4.2672;2.8443;1.4055;4.5481;6.6663;3.0459;2.8832;3.2796;2.0895;8.9542;8.4271
0.5;3.9749;3.8092;4.9215;2.6733;1.1748;4.6726;6.1492;2.9027;3.3204;3.3644;2.1116;8.9951;7.5116
0.5;4.1269;3.9475;4.8207;2.6254;1.2768;4.5894;5.5327;2.2873;3.4382;3.3374;1.9397;9.4101;7.5203
0.5;4.4983;4.1393;5.5555;2.0788;1.3461;4.4027;5.6612;2.7264;3.524;3.052;2.0302;9.7038;7.9537
0.5;4.1992;3.4461;4.6198;2.1219;1.2345;4.1001;5.8913;2.0435;3.3457;3.4018;2.0185;10.3257;8.123
0.5;4.6649;3.5711;3.7464;2.3312;1.5547;4.3332;6.2426;2.3893;3.7391;3.4451;2.021;9.508;8.0151
0.5;4.4241;3.2304;4.4504;2.352;1.5478;4.292;5.6651;2.923;3.4119;3.2046;2.0079;9.6364;7.9861
0.5;4.3237;3.6327;5.2956;1.7712;1.7582;4.1625;5.6345;2.898;3.2296;3.3792;2.0567;9.9398;7.7383
0.5;4.0548;3.0322;4.619;1.8266;1.7056;4.5023;5.8325;3.0897;3.2485;3.3917;2.1655;9.6212;7.9916
0.5;4.1244;2.6308;5.1552;2.1547;1.6998;3.9477;5.8695;3.344;2.8465;2.9694;2.1593;9.7288;8.4064
0.5;3.4578;2.4829;4.5372;1.8983;1.6501;4.7442;6.3462;3.0259;2.9263;3.1196;2.2404;9.4928;7.3461
0.5;3.4025;3.2097;4.8468;2.2002;1.5906;4.9305;6.5909;3.2903;2.5877;3.3745;2.2876;8.9875;8.1427
0.5;3.4885;2.8674;4.6256;1.8061;1.5166;5.1561;6.9719;3.3467;2.3959;3.4086;2.1428;8.6185;8.207
0.5;3.4679;2.8515;5.0888;1.8424;1.0443;5.0207;7.101;2.4216;2.2899;3.2105;2.1999;8.3441;7.7375
0.5;3.5;2.6962;6.1021;2.4494;1.1998;5.6025;6.988;2.5649;2.5498;3.1224;2.1638;8.7448;7.5264
0.5;3.4076;2.8414;6.2509;2.2287;0.9463;5.5349;6.9175;2.5062;2.3794;3.2386;2.312;8.6223;7.9174
0.5;3.9293;2.7846;6.6266;2.3597;1.0065;5.8229;6.1536;2.4256;1.932;3.3327;2.2872;8.6061;7.8731
0.5;4.1349;2.902;6.8664;2.5361;0.7598;5.827;6.138;2.0893;2.0745;3.4308;2.2664;8.9831;7.6726
0.5;3.7161;3.1262;6.8464;2.3862;0.7256;5.5596;6.0315;2.1561;1.8839;3.4222;2.1751;9.2191;7.7057
0.5;3.739;3.1127;7.6065;2.2024;0.4542;5.8335;5.6412;1.9831;1.7661;3.3557;2.0865;9.1665;7.5638
0.5;3.7099;3.7157;9.9851;2.0117;0.5435;5.5807;6.4586;2.3355;1.6575;3.3523;2.2195;9.2883;7.7687
0.5;3.3664;4.6645;7.6433;2.3575;0.6077;5.4398;7.7397;2.3271;1.7271;3.2067;2.2873;9.3037;7.7839
0.5;3.6901;5.3403;8.323;1.822;0.4311;5.44;7.6805;2.6276;1.6233;3.3246;2.8456;9.1333;7.724
0.5;2.9604;6.1321;9.3878;2.2882;0.3759;5.9323;7.2634;2.4785;1.5846;3.0989;3.3152;8.7273;8.0394
