odour stim;30/10/2020 Male1;30/10/2020 Male7;02/11/2020 Female1;02/11/2020 Male10;03/11/2020 Male7;04/11/2020 Male1;04/11/2020 Male7;25/02/2021 Female1;25/02/2021 Female2;25/02/2021 Male3;25/02/2021 Male7;25/02/2021 Female8;25/02/2021 Female10
;0V-90V;0V-90V;0V-90V;0V-90V;0V-90V;0V-90V;0V-90V;0V-90V;0V-90V;0V-90V;0V-90V;0V-90V;0V-90V
0.5;4.8591;6.2564;2.845;5.1499;4.8649;4.2907;3.1166;3.2963;2.2168;4.9958;9.1543;5.1868;3.1369
0.5;4.9253;6.2996;2.4492;4.4895;4.7627;4.2198;2.996;3.3107;2.1936;5.2287;8.3917;5.2315;2.7314
0.5;4.4859;6.6251;2.8959;4.5747;4.5276;4.397;3.1055;3.4893;2.1258;5.1448;8.1005;4.8663;2.9156
0.5;5.1425;6.3935;2.7374;4.7881;4.4482;4.2537;3.2203;3.5537;1.9292;5.4075;8.436;4.5163;3.0185
0.5;4.9993;6.5115;2.7658;4.6909;4.6754;4.1811;3.4411;3.2862;1.9407;5.1291;8.2284;4.4301;3.2581
0.5;4.6691;6.7411;2.4856;4.713;4.2503;4.2957;3.2065;3.5237;1.9991;5.0538;8.3996;4.304;2.9444
0.5;4.7432;6.4448;2.5472;4.5823;4.2184;4.3096;3.5578;3.5057;1.9854;5.1066;8.2627;3.7389;3.2156
0.5;4.7296;6.155;2.4434;4.7573;4.187;4.2015;3.6287;3.7257;2.0847;4.699;8.8651;3.6011;3.0254
0.5;4.9114;6.4238;2.3006;4.8069;4.0749;4.1322;3.9699;3.9501;2.0388;4.8697;9.2504;3.2372;2.7291
0.5;5.1854;6.7071;2.2125;4.796;4.2167;4.0449;3.7213;4.3358;2.1786;4.6898;8.3547;3.5162;2.7043
0.5;4.847;6.3353;2.1192;4.5974;4.1853;4.0252;3.6053;4.2593;1.9908;4.6138;8.4452;3.3562;2.5723
0.5;4.9936;6.1927;2.3776;5.0321;4.3494;3.8861;4.0654;4.0865;1.8489;4.6227;8.7498;3.4354;2.4493
0.5;5.1425;6.4496;2.3666;5.604;4.1856;4.0138;4.287;3.6802;2.0154;4.4797;8.6728;3.6547;2.6947
0.5;5.2615;6.2665;2.002;5.5314;3.682;4.003;4.281;3.6678;2.0553;4.4942;8.5602;3.7788;2.7849
0.5;5.5169;6.0643;2.1427;5.3439;3.865;4.0767;3.9078;3.7068;1.975;4.3688;8.8271;3.4133;2.8944
0.5;5.1723;5.9634;2.0385;4.7924;3.6554;3.9615;4.0288;3.6229;2.0584;4.7329;8.7721;3.3294;2.7638
0.5;5.5063;6.3351;2.1596;5.0195;3.2393;4.0105;4.1551;4.064;2.107;4.4048;8.3403;3.3209;2.879
0.5;5.1613;6.614;1.9479;4.8654;3.3217;3.9049;4.2574;3.7677;1.7705;4.208;8.3574;3.2468;2.9717
0.5;5.0199;6.7181;2.0892;5.3725;3.4244;3.9163;3.7815;4.0668;2.0449;4.449;8.7002;3.3351;2.9499
0.5;4.7798;6.7211;1.8751;5.4415;3.5405;3.8725;3.86;4.228;1.9252;4.3901;8.5596;3.2626;3.4462
0.5;4.6904;6.9072;1.8646;5.3537;3.5595;3.7291;4.1091;3.6733;2.0352;4.4009;8.5028;3.0099;3.1682
0.5;4.8642;7.1442;1.8641;4.8543;3.4427;3.8151;4.3494;3.6539;2.1377;4.5269;8.9761;3.1571;3.4777
0.5;5.1292;6.9598;1.7493;5.339;3.416;3.799;4.1106;3.6052;2.0045;4.7038;8.2678;3.2975;3.3766
0.5;4.7934;7.2182;1.9865;5.1797;3.3048;3.9718;3.7717;3.2719;2.0146;4.8416;8.8956;3.1442;3.8941
0.5;5.4315;6.9357;2.0875;5.0079;3.1932;3.8126;3.7081;3.9269;2.0779;4.7886;8.7007;3.1906;3.3241
0.5;5.1269;6.9314;1.6606;5.4216;3.3354;3.9558;3.7344;3.2794;1.7693;4.9376;9.289;3.4584;3.5813
0.5;5.1094;6.8383;1.9873;5.7242;3.6164;3.8757;3.6139;3.3398;1.977;4.6593;7.7701;3.0921;3.6027
0.5;4.8546;6.8219;2.0517;5.5678;3.4219;3.7456;3.2938;3.3904;1.9435;4.4336;7.9291;3.0655;3.3059
0.5;5.2182;7.2588;2.3097;5.7902;3.5271;3.8669;3.2894;3.2845;1.947;4.6077;8.1063;3.0567;3.3165
0.5;5.1358;7.373;2.2073;5.3994;3.553;3.9895;3.4046;3.9455;1.9224;4.6768;8.7912;3.2397;2.9358
0.5;5.4364;7.1457;1.9728;5.194;3.864;3.7392;3.2779;3.7091;2.0914;4.5694;8.8646;3.0891;2.7025
0.5;5.4743;7.0913;1.8588;5.0645;3.4543;3.7969;3.1706;3.8112;1.9296;4.4924;8.8928;3.07;2.6837
0.5;5.7498;7.2174;1.9001;5.4148;3.7667;3.8604;2.7681;3.2328;2.0791;4.6354;8.4913;3.1526;2.5768
0.5;5.6536;7.0899;2.0011;5.0308;3.9408;3.6075;2.8623;3.5785;1.935;4.6733;8.5916;3.1278;2.3651
0.5;5.5899;6.9881;1.7739;5.3628;3.9647;3.6883;2.6529;3.2931;2.1367;4.4781;8.0766;3.1231;2.4372
0.5;5.7354;6.805;1.9468;5.6428;4.1182;3.6945;2.7046;3.7601;2.0903;4.2819;8.7313;3.0594;2.2177
0.5;5.5793;7.2479;2.1295;5.7058;4.3647;3.7598;2.5759;3.8448;2.1524;4.4685;8.4714;3.021;2.3416
0.5;5.5613;7.1582;2.2022;5.4896;4.6654;3.7955;2.3381;4.4204;2.0484;4.6012;8.7984;3.2132;2.3301
0.5;5.5895;6.7071;2.2887;5.6147;4.5372;3.9459;2.4215;4.4721;2.0412;4.847;9.074;3.2387;2.1435
0.5;6.3373;6.6728;2.3794;5.4489;4.6348;3.8964;2.6169;4.4716;2.0242;5.0723;8.9078;3.4569;1.9627
0.5;6.221;6.7741;2.2605;5.4153;4.3811;3.8422;2.5724;4.9371;2.0699;4.7986;8.4662;3.3689;1.9687
0.5;5.6954;6.8113;2.5338;6.2098;4.4917;3.8046;2.569;4.7661;2.344;5.1486;8.3317;3.2431;1.8687
0.5;6.0167;6.3686;2.7924;5.6883;4.7569;3.942;2.637;4.3788;2.2415;4.7247;8.1741;3.3709;1.8169
0.5;6.3377;6.4742;3.4394;5.8426;4.8661;3.9986;3.0329;4.6038;2.392;4.8268;8.6441;3.4601;1.9581
0.5;6.7824;6.3786;3.6551;5.8544;4.8778;4.0233;3.0993;4.2541;2.5701;4.7633;8.5275;3.0146;1.9366
0.5;7.3601;6.1744;3.7973;5.8435;4.4839;3.9301;2.5771;4.6934;2.3912;4.9852;8.3283;3.0562;1.9297
0.5;7.1789;6.4532;3.8391;5.6579;4.2231;4.2256;2.4216;4.4878;2.6186;5.1922;8.5571;2.9757;1.9969
0.5;7.51;6.0947;4.3821;5.9422;4.7312;4.0217;2.9985;4.816;2.5403;4.888;8.4559;3.1621;2.4841
0.5;6.3808;6.3868;5.3038;6.2141;4.41;4.247;3.1338;4.2443;2.4327;4.8435;8.4855;2.9746;2.9771
0.5;6.5155;6.5019;6.0623;5.3814;4.397;4.1334;3.4558;4.2048;2.5766;4.8848;8.3853;3.029;3.0721
0.5;6.6263;6.3227;6.4614;5.4314;3.8477;4.1918;3.4225;4.7804;2.2647;4.6327;8.7569;3.3342;3.1194
0.5;6.431;6.4813;6.6544;6.0026;3.9258;4.0756;2.982;3.8559;2.3562;4.8156;8.5384;3.2833;3.1998
0.5;6.2974;6.4615;6.5335;6.3193;3.8034;4.134;2.9959;4.0573;2.247;4.8261;8.2738;3.1353;2.8157
0.5;6.4645;6.6661;6.8123;5.802;3.4823;4.0132;3.1815;3.8382;2.3129;4.9637;8.7379;3.2787;2.4633
0.5;6.3782;6.8592;6.9507;5.5749;3.2516;4.0824;3.3401;3.5925;2.6486;5.1068;9.7959;3.132;2.6504
5;6.542;6.9205;7.1377;5.3872;3.1932;3.9661;3.1099;3.618;2.3675;4.7481;9.9948;3.5571;2.5575
5;6.6876;6.3434;7.7299;5.4816;3.0252;4.0276;3.0028;3.65;2.4021;5.0697;9.0694;3.4528;2.3886
5;6.9523;6.4815;8.0541;5.492;3.0037;3.8867;3.2044;3.7426;2.5151;4.8893;8.8677;3.505;2.4711
5;6.5552;6.0464;8.3088;5.7259;3.0701;3.9287;2.9627;3.818;2.4611;4.8522;8.7478;3.5099;2.3231
5;6.0995;6.0778;7.8105;5.2298;3.0075;4.0491;2.8726;3.7795;2.3301;4.8834;8.8835;3.4515;2.4422
5;6.0652;6.1163;7.646;5.7879;2.8427;3.9576;3.0708;3.3064;2.6007;4.903;8.8022;3.4058;2.2711
5;6.0998;6.0071;7.1249;5.5274;2.8707;3.9485;3.4243;3.5683;2.6065;4.9143;8.701;3.6602;2.1473
5;6.1108;5.8553;6.9151;5.6415;2.8953;4.1947;3.2624;4.0694;2.6476;5.2024;8.8819;3.4011;2.4361
5;6.5053;6.2196;6.5978;5.8319;3.1595;4.0767;3.1785;3.6041;2.5022;5.9373;8.2074;3.3214;2.5532
5;6.662;6.1346;6.4578;5.9518;3.0104;4.088;2.9828;3.7602;2.2972;6.1852;8.425;3.4371;2.5294
