odour stim,29/04/2021 Female9,30/04/2021 Male1,30/04/2021 Male3,30/04/2021 Male5,30/04/2021 Male8,30/04/2021 Female9,30/04/2021 Male11,03/05/2021 Female1,03/05/2021 Male3,03/05/2021 Female4,03/05/2021 Male7,03/05/2021 Female9,05/05/2021 Female1,05/05/2021 Male4,05/05/2021 Female5,05/05/2021 Female6,07/05/2021 Female1,07/05/2021 Male5,19/07/2021 Male1,20/07/2021 Male1,22/07/2021 Male1
,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT
0,5.0537,2.4627,7.0927,7.0783,2.654,4.0403,2.2392,5.7163,3.0731,2.6801,4.0883,5.7511,2.5964,4.1257,2.1464,2.8374,4.215,1.8074,7.0723,2.0486,6.5463
0,5.5384,2.3832,7.0944,7.4946,2.8097,4.0614,2.1835,5.7258,3.0754,2.7776,4.1012,6.0855,2.5019,4.0261,2.1201,2.6336,4.0365,1.708,7.0125,1.9873,6.4661
0,5.159,2.3669,7.0064,7.1784,2.8105,4.1516,2.3054,5.7569,3.0282,2.7427,4.1559,5.7565,2.6682,3.9439,2.0381,2.6395,4.2314,1.7076,7.1012,1.8317,6.2048
0,4.9008,2.3387,6.8868,7.5974,2.7201,4.1421,2.3067,5.7749,2.9735,2.6962,4.5164,5.7951,2.5294,3.9028,2.0544,2.7126,4.3751,1.5474,7.1237,2.0023,6.3945
0,5.5328,2.3303,6.8247,7.3219,2.7418,3.7916,2.215,5.6782,3.0862,2.5831,4.2335,5.8476,2.7,3.988,2.0459,2.9091,4.0284,1.8437,7.1238,1.9221,6.119
0,4.9972,2.26,6.8966,7.6258,2.6412,3.725,2.2768,5.7352,2.994,2.6339,4.4778,5.6862,2.5284,3.7132,1.8828,2.7775,4.0104,1.6418,7.0681,2.0225,6.1577
0,5.0189,2.2491,7.23,7.1978,2.6694,3.9985,2.2833,5.7875,3.0404,2.6084,4.2507,5.9639,2.5506,3.9405,2.1513,2.7622,4.3373,1.6978,7.0418,1.7452,6.1891
0,5.5795,2.4227,6.7254,7.3201,2.5317,3.7263,2.3487,5.728,2.9148,2.5808,4.2766,5.616,2.6184,3.7484,1.8967,3.0611,3.6973,1.6135,6.8679,1.8961,6.1017
0,4.8968,2.3428,6.8125,7.0207,2.7824,3.6618,2.4015,5.6767,2.7797,2.6011,4.1559,5.5806,2.6989,3.7093,1.8126,2.8113,3.7461,1.635,6.8653,1.7194,6.396
0,4.5962,2.4291,6.6775,7.4007,2.6271,3.773,2.1442,5.868,2.7371,2.5593,4.1399,6.1039,2.6514,3.6981,1.7908,2.7781,3.6437,1.6909,6.5896,1.8745,6.5386
0,5.1954,2.345,6.8725,7.2175,2.8716,3.6811,2.1187,5.6376,2.7744,2.4757,4.1426,5.6379,2.7621,3.5763,1.7648,2.7618,3.6254,1.7656,6.4919,1.8051,6.7098
0,4.7576,2.4465,6.6739,7.4213,2.8384,3.6601,2.0245,5.9545,2.819,2.4507,4.2381,5.8867,2.8145,3.6773,1.7019,2.5113,3.6858,1.5689,6.2468,1.737,6.8531
0,4.6695,2.4842,7.0106,7.2437,3.2194,3.5639,2.0708,5.7458,3.0365,2.3782,4.266,5.8616,2.7995,3.6738,1.5464,2.4267,3.7174,1.6777,6.0992,1.625,7.3113
0,5.385,2.4683,6.7069,7.188,3.1068,3.652,1.9335,5.3984,2.9044,2.3841,3.9686,5.8067,2.8182,3.5383,1.5004,2.3935,3.9626,1.5499,6.2697,1.887,7.3189
0,4.8612,2.3909,6.7872,6.8519,3.3636,4.0075,2.0007,5.5269,2.8426,2.5014,4.0627,5.8136,2.8789,3.6938,1.436,2.5277,3.8323,1.7029,5.859,1.7411,7.1241
0,4.9584,2.2908,7.0752,6.7001,3.3883,3.7962,2.0564,5.4921,2.8274,2.5338,4.1806,5.5683,3.1425,3.6582,1.43,2.4258,3.6577,1.6086,5.7933,1.8366,7.1408
0,5.5529,2.4127,6.7649,6.6067,3.3011,3.6365,1.9106,5.5429,2.9302,2.5627,3.986,5.4899,3.4307,3.5886,1.4414,2.1095,3.7634,1.5713,5.9193,1.7125,6.8493
0,4.8262,2.4307,6.6124,6.7205,3.4215,3.8235,1.9844,5.6258,2.8001,2.5404,4.2246,5.4588,3.2712,3.6037,1.5248,2.3216,3.7554,1.6654,5.8177,1.7188,6.998
0,5.3265,2.4188,6.7035,6.3975,3.4471,3.832,1.8837,5.6186,2.6672,2.5419,4.0857,5.1049,3.6589,3.6758,1.4891,2.2054,3.5872,1.8488,6.0168,1.62,6.8753
0,5.7587,2.449,6.6743,6.622,3.7145,3.7962,1.7847,5.5488,2.6685,2.589,4.2254,5.1327,3.9082,3.7628,1.4578,2.4646,3.8678,1.6986,5.9802,1.8085,6.7565
0,5.7926,2.4584,6.7181,6.8171,3.8771,3.7824,1.7152,5.7678,2.7707,2.5107,4.1984,5.1195,4.0133,3.7184,1.5238,2.4333,4.1051,1.7674,5.6333,1.8454,7.0681
0,5.5654,2.2273,6.7092,6.7475,3.8991,3.7552,1.8062,5.6835,2.856,2.661,4.163,4.9989,4.4217,3.7151,1.6694,2.3998,3.9783,1.6043,5.9353,1.7476,6.6843
0,5.9899,2.2379,6.9212,6.6168,3.9187,3.7205,1.7957,5.5301,2.5922,2.5434,3.9781,5.395,4.0898,3.7879,1.5047,2.7685,3.9838,1.4871,6.0417,1.847,6.568
0,5.8136,2.3481,7.0281,6.6026,3.8445,3.7816,1.8668,5.5104,2.7051,2.5178,4.0311,4.9545,4.2691,3.7,1.5444,2.7088,3.9669,1.6945,5.8318,1.7284,6.6802
0,5.8141,2.298,7.0383,6.2704,4.1038,3.6246,1.9868,5.6214,2.7405,2.5118,4.136,5.1884,4.5775,3.578,1.6692,2.5907,4.3357,1.7831,5.6109,1.6519,6.9061
