odour stim;07/12/2020 Female12;09/12/2020 Female6;09/12/2020 Female10;09/12/2020 Female12;11/12/2020 Female6;11/12/2020 Unknown10;14/12/2020 Male6;14/12/2020 Female10;15/12/2020 Female1;15/12/2020 Male7;09/02/2021 Male4;10/02/2021 Male4
;45V-90V;45V-90V;45V-90V;45V-90V;45V-90V;45V-90V;45V-90V;45V-90V;45V-90V;45V-90V;45V-90V;45V-90V
0.5;9.0068;10.367;19.275;12.893;28.3372;10.6118;31.6036;12.2465;18.0794;21.8659;11.9848;13.3527
0.5;9.0712;10.3686;20.7166;11.9628;28.2304;10.4993;30.328;11.5122;17.8854;21.4178;11.354;14.4915
0.5;9.1152;10.3231;21.4745;11.2653;29.31;10.3144;33.7577;11.8144;16.3369;21.4709;10.8747;13.7047
0.5;7.8827;10.4723;19.8319;12.073;27.5011;10.2679;31.64;12.3347;15.1394;21.5918;12.3815;12.3063
0.5;7.805;10.8504;20.6724;11.8113;26.6306;10.2182;33.6977;13.9568;16.9607;21.0534;11.516;11.8913
0.5;7.4511;10.999;20.9476;11.4196;26.8704;11.1425;31.2763;13.2808;17.616;21.2567;12.5336;11.1728
0.5;8.1733;11.3622;18.5687;10.7404;25.4172;11.0247;32.6096;12.7501;17.5224;21.5293;12.2971;12.2794
0.5;7.4626;12.8329;21.0712;10.481;26.4453;10.8034;29.7321;12.363;18.9777;21.1615;11.3196;13.7018
0.5;7.5568;12.093;20.7257;11.3102;25.5609;10.3445;31.6488;11.4369;20.5028;21.3444;10.7608;13.35
0.5;7.3986;13.899;18.1249;11.1163;27.3319;10.0457;30.1505;13.4468;20.2081;21.3003;11.3074;12.9057
0.5;8.0924;12.8706;19.286;10.219;23.0923;10.22;29.8161;12.0555;17.4711;21.2228;10.7955;11.8194
0.5;7.3411;12.3209;19.4189;10.0568;22.0739;11.3285;31.373;12.8838;17.065;21.3125;11.0005;11.3796
0.5;7.7178;11.6835;18.6999;12.3293;23.0916;10.8001;32.4908;12.9425;16.3481;21.5894;11.9224;11.9611
0.5;9.0864;12.7347;21.0756;12.1819;21.8486;10.6783;32.858;13.3313;15.3744;21.6538;12.9079;12.1212
0.5;10.6349;13.6022;18.8116;11.821;19.9396;11.7924;34.7499;13.8277;13.0517;21.0717;11.8419;11.1078
0.5;11.7396;14.6293;19.8268;11.6682;24.2295;11.6268;35.7414;15.7326;12.8515;21.6694;11.091;10.3354
0.5;10.4329;13.9129;21.4349;11.8745;24.2967;11.7776;37.5836;15.9558;14.5645;20.806;10.6857;10.5102
0.5;10.1742;12.8894;24.4883;11.293;24.697;12.8838;35.1424;15.1877;14.8775;20.6451;11.4193;11.7611
0.5;11.2658;12.1183;24.2597;10.4295;25.6839;13.684;27.1117;15.1246;13.5828;21.002;12.6163;13.3423
0.5;11.6434;11.4028;22.0437;9.6826;25.407;12.7112;25.0823;15.9901;12.1795;20.8853;11.8727;12.773
0.5;9.248;11.1988;19.5659;9.1082;26.5236;13.4289;23.0458;17.1103;12.6826;21.1057;11.8695;11.9726
0.5;8.9348;12.9674;21.539;8.7449;26.3737;15.5927;21.351;17.0254;13.7886;20.8353;12.6607;11.3816
0.5;9.8272;12.7728;24.03;8.4794;26.5635;15.5516;19.8632;14.9358;12.4897;20.8227;12.3679;11.143
0.5;11.7999;12.3277;24.5154;8.0928;26.6613;14.642;23.184;14.2874;14.4128;20.518;11.4763;12.575
0.5;11.029;12.3339;25.5535;7.9963;26.4271;14.1824;23.9556;12.0057;14.3885;21.2041;11.0333;11.5374
0.5;12.4705;13.2234;22.735;7.8103;22.8087;13.5378;22.7193;12.0871;13.5987;20.9874;13.6294;11.4083
0.5;12.0154;13.4276;20.87;7.5349;22.3477;14.9277;22.0773;11.3482;12.5423;21.1147;12.5458;10.6309
0.5;12.3511;12.3518;20.9737;7.5768;24.158;14.2424;22.7116;13.5395;11.115;21.4051;13.917;10.3283
0.5;14.5594;11.9045;19.8357;7.4992;26.2497;16.3712;24.169;12.5979;14.4437;19.9786;13.1131;13.3145
0.5;13.3105;11.2388;20.8342;7.2314;26.6803;16.0704;23.6145;11.1065;13.7321;20.9262;14.5762;12.6839
0.5;13.1753;11.2622;20.9995;7.0596;26.9792;15.2371;24.5793;11.6574;12.3058;20.8944;14.5943;12.0598
0.5;11.8313;13.2221;23.5934;6.9;28.6752;16.9357;23.2106;10.3801;14.858;21.1091;14.9966;14.434
0.5;13.745;13.1254;24.6198;7.2471;25.9019;15.7284;20.8682;10.452;15.9462;20.572;16.1408;16.8114
0.5;11.5355;14.2313;22.5132;8.2405;26.6478;16.7076;18.9123;9.6488;16.0567;20.5982;14.7608;15.772
0.5;11.9523;14.2815;20.2684;9.7677;27.8878;17.7579;20.2264;10.0881;14.5976;20.6603;13.0603;13.675
0.5;12.0224;13.3945;23.9008;9.5907;28.2341;17.0082;20.3958;12.0179;15.1527;19.9869;11.8084;17.4015
0.5;14.2983;14.6391;24.1819;8.9136;28.3214;14.8857;21.7944;10.9474;15.3316;20.9267;11.3555;16.6637
0.5;12.4193;14.0926;21.8308;8.6453;30.5525;14.8824;21.8114;13.1853;14.1993;20.6595;10.9092;15.6037
0.5;11.8007;14.8907;20.9383;9.7036;27.7621;15.9777;20.0148;11.548;12.1289;20.3529;12.3261;13.8581
