odour stim;16/11/2020 Female6;16/10/2020 Male8;17/11/2020 Male5;17/11/2020 Female11;18/11/2020 Female5;19/11/2020 Male3;19/11/2020 Female8;20/11/2020 Female2;20/11/2020 Male7;23/11/2020 Female3;23/11/2020 Male7;25/11/2020 Female3;16/02/2021 Female7
;60V-30V;60V-30V;60V-30V;60V-30V;60V-30V;60V-30V;60V-30V;60V-30V;60V-30V;60V-30V;60V-30V;60V-30V;60V-30V
0;4.3239;2.1845;19.2665;5.0963;7.4188;13.3607;10.6602;14.5704;5.1894;5.8817;18.9004;11.7497;3.8566
0;5.1331;1.9743;20.0084;5.0553;8.6667;12.5611;11.1118;15.6331;4.7375;5.8007;20.2021;9.6407;3.6382
0;4.6913;2.1181;18.9756;4.79;9.0757;11.0311;11.6046;16.4022;4.781;5.4699;19.4649;9.3027;4.1278
0;4.5169;1.7704;18.9632;4.5426;7.9664;10.9197;10.6795;16.5804;5.9352;5.7355;18.1326;10.5552;4.1312
0;4.1339;1.657;17.217;4.2749;6.9962;11.8788;10.6781;16.8099;6.2897;6.0766;16.2112;10.7999;4.0365
0;4.0123;1.7699;14.9083;4.176;6.9471;13.6496;11.7532;17.4502;7.0765;6.1131;17.7198;8.5395;4.1465
0;4.2701;1.6234;15.7246;4.1595;7.1717;12.1832;12.1946;17.0864;7.9034;6.7769;17.3555;8.4857;3.4244
0;4.6561;1.8394;14.3457;4.2721;7.5695;12.1977;12.1134;17.3621;8.169;6.2977;16.7077;8.0026;3.0614
0;4.1427;1.9732;12.6325;4.4229;8.0973;12.7017;10.7488;17.6286;8.5898;5.2873;16.9287;7.4585;3.5516
0;4.4622;1.7332;11.6325;5.1845;6.9275;11.3373;10.2761;18.1161;8.0686;5.9251;17.1504;6.0509;3.6529
0;5.0189;1.692;11.6321;5.1645;8.0469;11.2839;10.6287;18.6048;8.7727;6.4837;17.4354;8.5296;3.7634
0;4.6454;1.5567;12.4992;5.0665;8.0395;12.1847;11.9922;18.8648;9.2803;6.141;18.3582;8.6355;3.7447
0;5.0016;1.8792;13.6848;4.6157;8.1603;11.9942;12.0704;18.6855;9.3599;6.3787;20.86;8.4598;3.8113
0;4.8627;1.5255;12.069;4.9239;7.9135;12.6391;11.9945;18.873;10.004;6.834;20.8225;6.7463;3.7409
0;4.9534;1.6711;11.4263;4.7958;6.6121;12.0198;13.7306;18.1881;9.8431;6.3426;20.4336;6.1004;3.4456
0;4.9051;1.4631;12.4803;5.5555;7.4774;12.0972;14.0293;18.8442;9.7286;6.2923;21.4023;5.3582;3.3214
0;5.0985;1.5734;14.0306;5.1976;6.7902;11.9337;13.913;17.5716;9.6505;6.911;22.1845;5.2466;3.0882
0;5.1549;1.7466;14.1591;5.3888;8.1775;12.776;13.7913;17.0133;9.5692;6.2768;20.9097;4.9202;3.4073
0;5.4426;1.761;14.5342;5.9289;8.821;12.9378;12.7538;17.2943;10.2748;6.2199;22.8834;5.0746;3.822
0;5.879;1.6509;13.9561;5.1256;9.3329;12.9655;12.928;17.4268;9.2472;6.8151;23.542;5.0749;4.027
0.5;5.8293;1.6313;13.6139;5.6192;8.0595;13.3895;14.1325;16.5207;9.5441;6.3949;21.2449;5.2939;3.684
0.5;5.643;1.4939;13.2056;5.1973;8.3479;14.3486;13.3053;17.2862;11.0073;5.8724;18.7582;5.2582;3.2898
0.5;4.841;1.9086;13.8896;5.2579;8.6757;13.9389;14.3987;17.0018;10.6451;6.5718;17.8796;5.1055;3.3004
0.5;5.3216;1.9549;14.1541;5.2176;7.8038;13.8192;15.3507;17.5595;11.4098;6.4815;19.1627;5.4506;3.5184
0.5;5.2003;1.6977;14.9958;5.0337;8.2879;13.4175;15.6522;17.4257;11.1068;5.9387;20.7437;5.9247;3.6675
0.5;5.962;1.6759;13.5916;5.4521;8.7379;14.4174;15.7749;17.6617;10.4408;6.48;19.8868;5.2822;4.133
0.5;5.4475;1.8905;11.911;4.9629;9.177;14.3541;16.0645;17.688;11.1248;6.4501;19.9989;5.1011;3.9296
0.5;5.3568;1.6634;13.9008;5.3203;9.3618;14.5697;16.9138;18.284;11.4947;6.0151;20.5877;5.4357;4.0739
0.5;5.3709;1.6174;12.4804;5.6979;9.8077;14.5277;14.9495;17.3535;11.0315;6.4942;22.353;6.0463;4.3433
0.5;5.3094;1.6126;14.1975;5.4268;10.2754;13.9356;13.5899;16.9325;10.9037;6.2205;23.0711;5.0799;3.8975
0.5;5.3011;1.8266;13.4531;5.9332;9.883;14.303;14.2824;16.1998;10.4476;6.3555;23.3495;5.7111;3.6679
0.5;5.2682;1.9436;14.6114;6.6712;9.4023;12.5974;13.9342;15.3976;10.9224;6.1196;20.9764;5.5908;4.3941
