odour stim;16/11/2020 Female3;17/11/2020 Female3;17/11/2020 Female8;17/11/2020 Male13;18/11/2020 Male2;18/11/2020 Male7;19/11/2020 Unknown6;20/11/2020 Male4;20/11/2020 Male10;23/11/2020 Female6;23/11/2020 Female10;23/11/2020 Male11;16/02/2021 Female5
;15V-30V;15V-30V;15V-30V;15V-30V;15V-30V;15V-30V;15V-30V;15V-30V;15V-30V;15V-30V;15V-30V;15V-30V;15V-30V
0.5;3.8627;13.3939;10.9115;16.5034;9.3362;11.4418;30.1026;20.4437;14.4716;11.8115;8.3029;11.8695;10.2163
0.5;3.9827;13.4037;10.8106;15.578;10.2998;12.3733;30.7218;15.5143;13.4443;11.438;8.154;12.2558;11.0381
0.5;3.5822;14.3217;11.1487;15.9261;8.4529;11.518;30.0133;15.9519;14.2468;11.3042;6.9047;13.1316;11.5921
0.5;3.6701;14.9755;11.8107;15.835;8.8167;11.7697;31.056;13.6745;14.2243;11.2332;6.7507;12.5011;11.4702
0.5;3.4815;13.8394;11.9021;14.19;8.2387;11.4247;31.1005;17.3242;14.2802;10.2072;6.4311;13.9109;11.9753
0.5;3.8232;13.5034;12.112;13.9962;8.1763;12.3176;31.4117;14.4886;14.2156;10.4547;7.2891;15.013;12.7462
0.5;3.4612;14.1843;11.6324;13.3055;8.0013;13.0251;30.8386;14.1907;14.4302;10.1526;6.5761;14.5393;13.9867
0.5;3.3681;14.7324;11.4975;13.1186;7.5567;11.2683;29.6155;12.3385;15.0853;10.3555;6.8618;14.8918;13.4404
0.5;3.5158;15.2724;11.1789;12.6497;7.1889;11.9781;30.0424;16.1448;14.8796;9.6944;6.4976;13.4796;13.3439
0.5;3.6109;14.6621;10.7646;13.9916;7.978;11.7268;29.7709;14.7403;14.7137;9.2321;5.8446;12.7654;12.7855
0.5;3.4392;14.6159;11.8097;14.8714;7.9597;11.5264;27.3983;16.0066;14.8215;9.6339;5.9203;11.8169;11.8217
0.5;3.075;14.9834;11.5322;15.2437;7.0628;10.0301;25.2271;15.8462;15.3134;8.8772;5.6688;11.2098;12.2371
0.5;2.8764;14.6935;10.845;15.0771;7.1812;11.1448;20.6002;17.8224;15.183;9.3518;6.5074;11.0442;11.5919
0.5;3.3672;14.9824;11.1273;15.6947;6.5847;11.4418;21.6276;15.7709;15.4351;10.5821;6.4441;11.4608;13.1111
0.5;3.3638;14.9599;11.1067;14.7799;6.5556;11.686;19.3563;17.1579;15.2957;10.53;6.1458;10.7398;15.6685
0.5;3.1051;16.1221;10.6024;15.5954;7.0482;12.9386;19.469;16.597;14.9091;10.4057;6.0767;11.863;16.0769
0.5;2.8864;17.4596;9.6785;15.8023;6.9333;11.9265;21.6711;17.4865;14.9477;10.6373;6.7224;11.9375;16.4695
0.5;3.306;19.2683;10.5466;16.2644;6.8732;9.9823;19.2766;16.2098;15.6948;10.6981;7.2927;12.34;15.949
0.5;3.1218;18.8749;10.6689;15.2172;6.9078;9.0236;18.0873;18.5287;15.3663;11.0065;6.2007;12.1869;15.4109
0.5;3.1117;18.6619;9.9535;13.0476;7.7462;9.4307;17.7957;15.5108;15.3278;11.3868;5.7347;12.3771;16.6135
0.5;3.658;19.0344;9.9693;12.4688;7.4374;8.1654;17.2108;16.6922;16.0342;10.0166;6.3485;12.2;15.448
0.5;2.9641;18.9987;10.8039;12.2588;6.6509;8.194;17.6307;16.935;15.2458;10.6043;6.5243;12.0921;16.0277
0.5;3.1209;18.3572;11.7174;11.927;6.4895;7.1698;17.4683;18.5822;15.1295;10.6222;6.0774;13.8501;14.9406
0.5;2.5456;18.4488;11.3897;11.6654;6.7681;7.1783;15.8864;16.4456;14.5091;11.0134;5.9534;14.9831;15.4327
0.5;2.5677;16.9708;11.8248;11.5108;7.4289;7.8702;16.1145;15.4818;15.4056;11.3186;5.9641;14.8461;15.9594
0.5;2.3183;18.4393;11.3749;11.9199;6.5146;9.5403;16.866;14.1269;15.2307;11.2445;6.1966;13.5238;15.7581
0.5;2.3243;19.0093;10.8816;10.7541;6.8829;9.4848;17.1842;13.9802;15.3336;10.9397;6.7885;14.694;14.8715
0.5;2.1976;19.4597;10.3737;9.9989;6.3205;8.1118;18.5528;12.8038;15.1063;11.0765;6.6928;14.7772;14.7247
0.5;2.0743;19.7212;10.9104;9.4252;7.1151;8.5743;21.342;13.8119;15.554;11.307;6.7103;14.1023;13.7874
0.5;2.3111;19.2009;12.2782;9.1773;7.7647;7.6687;21.6397;13.1976;16.259;12.1224;6.5216;13.8843;15.4866
0.5;2.6232;19.1218;12.0429;9.0236;7.0737;7.7105;23.905;15.3934;15.4076;10.2722;7.2449;15.3518;16.6145
0.5;2.5948;18.5233;11.8559;9.3103;7.3567;8.4444;23.8732;13.1902;15.7174;10.1848;6.36;16.5775;16.5807
0.5;3.2583;19.3705;11.5109;9.0734;6.8043;11.9789;23.7898;18.1899;15.471;11.1124;6.6475;15.6271;17.2709
0.5;2.7965;19.599;10.0565;10.4064;9.0136;13.9892;23.4504;15.4035;15.0029;11.3511;5.9482;16.3368;16.6841
0.5;2.4816;19.6364;10.0413;10.759;8.9784;14.2438;21.818;14.8154;14.7478;11.6978;6.151;14.7553;17.6731
0.5;2.7094;19.7591;10.1317;10.4093;9.8795;13.8791;21.3723;12.0368;14.9004;11.3227;6.1634;14.4409;16.8551
0.5;2.409;19.0915;10.4261;9.4426;8.2359;14.4677;20.8958;11.427;15.4026;11.7432;6.9573;13.3895;17.1828
0.5;2.6448;18.9312;10.4163;10.5845;9.1012;14.2909;18.582;6.3192;15.6165;12.0129;7.2354;13.3836;17.635
0.5;2.4229;18.9637;10.9205;9.8964;7.4771;15.0348;15.4439;8.3715;15.7715;11.4077;7.0152;15.1114;16.35
0.5;2.3804;18.6167;10.4446;10.445;8.4689;15.5456;13.8756;7.0034;15.756;11.9571;7.3135;16.735;17.1363
0.5;2.6017;18.6532;11.1282;9.9708;12.1558;15.4659;14.3163;10.1916;15.5246;12.0427;7.3554;17.629;16.3214
0.5;2.6058;19.36;11.1455;9.9427;13.6043;14.304;12.5771;10.1132;15.4458;10.2602;7.1977;17.2092;14.6858
0.5;3.0252;20.6703;10.987;10.575;16.9939;14.8147;13.5881;11.9443;15.8286;10.5483;7.5532;16.9323;15.0948
0.5;3.0527;21.763;11.5573;10.0532;21.7365;14.2538;14.4904;11.092;15.5927;10.0714;6.9434;16.0034;15.5771
0.5;3.1606;21.5979;11.2492;10.2466;21.8953;14.9306;16.4003;11.5878;15.6907;11.1158;7.6455;15.4645;16.3468
0.5;3.152;20.232;11.4282;10.6634;22.0886;15.445;14.4562;11.688;15.0102;10.0513;7.1159;15.1352;16.4631
0.5;3.2719;20.2429;11.382;9.6358;22.0843;14.5371;13.4093;12.6008;15.3988;10.8753;6.4255;14.5142;16.2731
0.5;3.1518;20.2828;11.3377;9.0417;22.8442;14.3688;12.9041;13.6753;14.6731;11.0777;6.8787;13.4497;16.1835
0.5;3.7925;18.2772;11.3069;9.7073;22.728;13.7184;16.2527;13.013;15.602;10.1625;7.4713;13.0627;17.2545
0.5;3.4724;16.0367;10.9648;8.5473;20.8041;12.5635;16.1327;12.8918;15.5519;12.9695;8.0942;13.6807;17.9572
0.5;3.4196;15.0658;11.7247;7.6676;20.3339;13.5346;16.1565;12.5955;15.8545;11.811;8.2212;15.3578;17.8619
0.5;3.6132;15.7841;11.3448;7.9287;20.5798;13.7577;16.7729;12.9502;15.844;11.4302;7.4221;15.6511;18.5816
0.5;3.5012;14.9746;10.6984;8.1889;18.3687;12.8005;17.602;13.8326;15.2479;11.8304;8.1741;15.4182;18.8795
0.5;3.0919;15.5946;10.8473;7.9781;20.2251;12.9241;15.8994;13.2177;15.2807;12.1871;7.8984;15.8942;19.1087
0.5;3.2778;14.8477;11.0746;7.9239;19.6913;12.5526;14.3624;12.6026;15.6487;11.9777;7.3907;16.5134;18.0388
0.5;3.2477;15.0976;11.5987;8.0672;22.1323;13.2191;14.9494;12.6066;16.1661;12.0207;7.8898;18.1785;18.0235
0.5;3.5619;15.0466;11.3194;7.8561;25.0246;12.8013;15.3699;12.7885;15.6886;10.4926;8.0804;20.6133;17.0641
0.5;2.9767;14.3387;11.3996;7.9342;24.0476;13.0147;13.9443;11.8494;15.4555;13.5057;7.6086;19.8661;17.5174
0.5;2.8253;14.3333;10.8924;7.6465;23.6353;13.3224;14.2004;12.1363;15.2824;13.9898;7.0344;19.5755;17.9704
0.5;2.9192;14.4341;11.6379;7.6716;23.279;13.0112;14.7203;10.9031;14.7891;12.7158;7.0858;18.4851;18.33
0.5;2.5864;13.4972;11.725;7.1829;24.7861;13.1389;14.3379;12.7937;15.3318;14.1621;6.7075;19.1394;19.7582
0.5;2.9234;13.7039;11.7407;8.124;27.0526;13.274;14.8404;13.3673;15.5678;14.1374;6.729;19.3971;21.0394
0.5;3.0604;12.3163;12.6293;7.4519;29.1491;11.3514;14.7284;12.8744;16.4477;13.2458;7.1059;20.5543;21.896
0.5;3.3364;12.8381;12.1956;7.3192;27.5379;13.1628;14.4268;12.0194;16.5622;13.8652;6.9177;20.0596;19.8484
0.5;2.8274;12.8941;11.6511;7.9268;28.0155;12.8786;14.2243;13.4596;16.3589;13.2403;7.5349;19.318;18.5432
0.5;3.2187;11.838;12.034;8.3326;26.2595;12.6944;14.7499;10.75;16.218;15.4535;6.6984;19.8081;19.5328
0.5;3.4294;11.2958;12.8196;8.3954;27.2234;12.1538;14.8036;11.6332;16.254;13.5816;6.0641;20.0242;19.3234
0.5;3.3186;10.6046;12.4213;8.2491;27.5584;11.8563;14.9549;12.5825;17.0414;12.2763;6.8612;19.5513;17.4517
0.5;3.2901;11.989;11.533;8.9655;29.6891;12.1455;16.4682;11.4652;14.9359;13.9655;7.032;18.6652;16.6589
0.5;3.0498;11.0599;11.1468;8.0154;29.4994;10.9501;16.4883;11.6078;13.7247;14.2394;7.166;18.7983;17.2059
0.5;3.1286;10.0091;11.9885;7.5891;31.5628;12.1941;17.4882;13.6396;13.4156;13.2697;8.449;22.7828;15.9646
0.5;2.7933;11.1672;11.8479;7.6343;32.6817;11.9705;17.1592;12.1257;14.549;13.8277;8.9965;24.4705;15.237
0.5;3.4407;11.4549;11.2118;7.9565;34.0094;12.3939;18.228;18.4581;13.9191;13.5649;8.9589;28.5856;14.3315
0.5;4.5778;11.0533;11.9761;8.1889;32.2892;11.2568;17.1155;12.8089;13.4494;12.136;8.455;32.7241;13.5048
0.5;5.631;11.1541;12.4953;7.7949;32.9609;11.338;16.3578;13.4636;12.9408;12.1059;9.423;32.8305;13.6075
0.5;6.3487;10.0422;11.4348;8.5543;30.4477;11.5678;18.5057;12.221;13.0272;13.0415;8.9757;34.9948;13.8781
0.5;6.6278;10.5266;10.8151;9.6624;32.6152;10.5765;19.1226;12.5188;13.1908;13.4554;8.8226;35.487;14.3242
0.5;7.4836;10.16;11.2936;8.882;34.1997;10.8428;20.7136;10.802;13.222;13.0884;7.8146;32.9731;12.3466
0.5;9.162;11.4489;11.4925;9.3423;35.1094;10.2667;20.7849;11.5903;13.5399;12.4892;7.6181;32.562;11.6733
0.5;10.046;10.7315;12.0927;9.4101;33.1345;10.3182;22.3466;11.7519;14.2114;12.6224;7.898;32.962;12.206
0.5;10.5182;11.0015;10.9671;9.2579;32.8799;9.5752;24.415;11.9612;14.041;12.6929;8.66;35.5553;12.8441
0.5;11.2896;12.1276;11.6576;8.8412;35.3106;8.4378;25.0327;12.551;14.2502;12.8399;8.3969;34.2719;13.469
0.5;12.3303;11.1644;11.6437;8.9213;34.578;9.0655;23.7857;13.3872;14.827;12.8876;7.9667;33.6436;15.0597
0.5;13.2496;12.0721;10.6619;8.5767;36.357;8.8528;21.5874;13.7385;15.0308;12.685;7.2325;32.2187;16.011
0.5;11.8157;12.4862;11.2399;8.7796;32.5537;8.7427;22.3748;13.364;14.8485;14.1016;8.7893;32.8678;16.3833
0.5;11.2115;12.5953;12.3108;8.3085;33.8636;8.7961;23.9646;14.0808;15.3473;13.4226;8.1529;33.0724;16.6995
0.5;11.2615;13.8192;11.4996;8.5032;31.0778;6.9958;24.2604;11.2033;14.7612;13.0146;8.6162;32.0602;16.6863
0.5;12.6581;13.6765;10.6494;8.7291;27.0903;6.1946;22.4769;12.0489;14.449;11.4788;8.6058;34.5428;15.549
0.5;13.2102;13.7891;10.0192;8.1564;25.0969;5.8524;22.292;12.066;14.0931;12.8759;9.2088;35.206;15.9571
5;11.6384;13.6648;9.6804;8.3742;22.6768;6.4907;24.5794;13.1598;14.5384;13.0606;8.3318;36.5809;15.4267
5;10.8808;13.6951;10.4472;9.0728;19.4292;7.3761;25.6793;11.7755;14.1274;12.5044;7.8373;35.0674;17.6976
5;11.7145;14.2891;13.5839;9.8815;20.001;7.9231;27.8539;14.7573;14.8641;18.6952;7.3913;35.1266;19.7761
5;10.5679;13.7907;12.849;9.9947;16.3422;8.2051;26.3793;14.0054;14.904;26.2958;6.7629;35.3009;20.5693
5;9.2191;14.1933;12.288;12.5001;14.7332;8.0393;27.8145;15.864;15.3036;30.3088;7.1335;39.4175;20.8273
5;7.7521;19.4525;11.1227;14.0776;20.5082;7.1556;28.6761;14.053;15.1244;32.2747;7.0219;44.4694;20.1519
5;7.5202;21.4995;11.2436;15.3511;22.7638;7.5925;28.6554;14.9102;14.8343;31.3351;6.9882;38.1036;22.637
5;6.9186;20.0553;12.0011;19.329;26.6869;7.1386;29.9443;13.3434;15.3888;30.0335;6.6261;33.9532;23.4303
5;6.2836;20.2156;11.8007;22.5057;27.015;7.1916;28.308;14.8924;15.1578;30.7901;6.857;27.9607;25.1309
5;5.5191;20.5689;10.7891;23.6855;26.1938;7.2451;28.3961;14.6649;14.953;29.0947;6.8484;24.2812;24.2525
