odour stim,26/05/2021 Female 3,01/06/2021 Male 4,02/06/2021 Male 2,02/06/2021 Male 3,04/06/2021 Male 4,04/06/2021 Male 7,08/06/2021 Male 5,08/06/2021 Male 11,09/06/2021 Female 10,10/06/2021 Male 2,29/09/2021 Male 4,29/09/2021 Male 5,29/09/2021 female 10,30/09/2021 Male 1,30/09/2021 female 2,30/09/2021 female 3,19/10/2021 male4,19/10/2021 female7,27/10/2021 female 4,,
,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,,
0,6.6671,1.2674,4.0281,6.4498,5.2965,23.3998,9.6832,20.1363,4.4866,10.7227,10.9088,9.2708,7.2324,5.7269,6.5019,23.4124,6.4505,8.5533,14.2466,,
0,6.9311,1.148,3.8046,6.1054,5.3873,22.8021,9.7901,20.5138,4.8969,10.881,11.1424,8.0664,7.2423,6.0068,6.815,20.1007,6.0952,9.1918,15.4644,,
0,6.5839,1.3971,4.0947,6.6969,5.1568,21.7152,10.5781,19.8125,4.9465,10.812,11.2935,9.42,7.4528,6.1143,5.6838,23.5836,6.6133,9.9931,12.999,,
0,6.7671,1.5085,4.3146,6.5537,5.2628,19.5636,11.5975,20.0876,4.8365,10.7298,11.0762,8.8756,7.358,4.6513,4.3413,21.3297,6.1937,10.9368,13.3394,,
0,6.1928,1.281,4.0116,5.8672,5.1562,17.9523,11.5125,19.6132,4.8353,10.8842,11.1215,10.0859,6.4389,5.5858,5.8259,24.2764,6.6802,11.279,14.0358,,
0,6.3791,1.4519,4.0159,5.6433,5.2166,16.2383,10.9628,18.6204,4.7137,11.5234,11.732,10.3261,6.3657,5.4468,6.1143,23.9946,6.4228,11.0694,13.8674,,
0,6.1419,1.669,4.0982,5.8439,5.138,16.0176,11.7276,18.72,4.7699,11.2975,11.8794,10.5595,6.4277,5.1762,6.8791,24.6638,7.0109,11.0027,12.9642,,
0,5.8512,1.538,4.6752,6.4284,4.9093,15.8294,14.399,17.8432,4.7857,10.9784,11.7197,11.3505,5.9249,5.4354,6.8614,23.0638,7.6403,10.4914,15.241,,
0,6.0481,1.4658,4.7339,5.4613,4.8828,15.8685,15.1634,20.0584,4.5633,10.5042,11.7008,10.223,5.9101,4.5234,6.6163,22.8756,7.1358,10.0577,15.3596,,
0,6.575,1.7588,4.3962,6.1245,5.3434,17.0486,16.1565,20.468,4.5831,10.5818,11.6864,9.4535,6.0102,5.2422,7.7463,21.9454,7.0251,9.6454,16.3727,,
0,6.0785,1.127,4.3045,5.946,5.1723,18.4062,15.1039,20.0572,4.859,10.6604,11.8206,11.2207,5.715,4.7258,8.1454,21.9041,7.3378,9.6522,12.7438,,
0,6.0312,1.5266,4.3987,6.4193,4.8066,17.0023,13.6772,18.5736,4.5079,10.6119,11.729,11.2099,5.1299,5.0062,8.3252,20.2006,7.1448,10,18.8356,,
0,6.0793,1.8332,4.0832,5.7993,4.7074,17.6986,11.7087,17.9318,4.6385,9.8842,11.888,12.3979,5.3823,4.8568,8.7023,18.639,6.518,9.1423,16.5925,,
0,5.9913,1.4195,4.0268,5.8187,4.9187,17.3799,14.6277,17.6503,4.7571,10.5159,10.9818,12.1848,5.0074,4.6784,8.9253,18.5442,6.8752,9.4564,21.3147,,
0,5.6432,1.732,4.7311,6.5484,5.0424,17.4163,15.3942,17.5043,4.9717,10.1781,11.4765,11.4877,5.2729,4.8421,9.0436,16.984,6.7819,9.5038,19.1321,,
0,5.7175,1.6724,4.8144,6.0493,5.1811,16.7202,15.8679,16.7282,4.6773,10.2737,10.9,12.3632,5.5824,5.0176,9.5517,18.0289,7.0051,9.1601,26.9264,,
0,5.9755,1.7808,4.8825,6.168,4.6942,16.6769,17.0098,15.9545,5.0601,10.954,10.8968,11.6611,5.0981,3.6084,10.3209,17.4714,6.5804,8.888,25.3359,,
0,5.6538,1.8788,4.5356,6.1847,4.9705,14.9471,14.5438,15.7,4.9148,12.0336,10.9503,12.1779,5.4762,4.5639,10.1257,20.5558,6.9569,9.5691,21.3696,,
0,5.1095,1.8046,4.4279,5.4751,4.8528,14.0437,14.9341,15.3088,4.4289,14.3028,10.9447,11.8098,5.1935,3.7808,9.5614,21.4595,6.4723,9.1649,21.6798,,
0,5.3584,1.9185,4.4287,6.2599,4.7337,13.0882,15.1388,14.9562,4.6869,13.6817,10.4449,12.2288,5.253,3.2181,9.493,22.2862,7.4356,8.5663,29.0469,,
0,5.7979,1.7586,3.9556,5.6727,4.1194,12.4684,14.5109,14.1454,4.7334,13.5035,11.0531,11.4271,5.4597,3.9088,9.7872,18.1353,7.6544,8.2454,30.6561,,
0,5.7107,1.5212,4.3394,5.6009,3.5998,12.9316,13.1168,13.3827,4.4607,13.5882,10.6889,11.5268,5.242,3.6446,10.32,18.242,6.9936,8.5828,30.642,,
0,5.7181,1.7219,4.1815,5.6994,4.1712,12.4564,11.7366,13.2252,4.5885,12.9331,11.3378,14.2627,5.1778,3.2952,10.2692,13.9139,7.5129,9.3031,29.8401,,
0,5.5033,1.7584,3.9228,5.5436,4.2977,12.5836,10.7437,14.0281,4.6567,12.9593,10.9802,12.8024,5.6198,3.2302,9.6718,14.8073,6.9279,9.8392,28.882,,
0,5.3663,1.8577,3.7342,6.079,4.5117,12.1353,9.5925,14.008,4.5254,12.3881,11.5249,14.7802,5.2118,3.274,9.8891,12.2484,6.8932,9.2529,26.0333,,
0,5.4707,1.4162,4.2476,5.8866,4.539,11.3959,10.0389,13.8289,4.7462,11.9943,10.6519,12.6492,5.1564,4.0599,8.8049,11.8582,6.6441,9.9031,27.295,,
0,5.4579,1.5748,4.1142,5.6896,4.584,11.3753,10.1837,14.3247,4.9744,11.3892,10.5783,12.3671,5.0746,5.4643,9.9882,10.804,6.758,9.3203,28.94,,
0,5.6708,1.4742,3.711,4.9103,4.6615,11.0212,9.4921,13.6238,4.8349,11.5829,10.5457,10.8912,5.4331,4.4899,9.4191,11.0352,6.5508,9.4797,26.0131,,
0,5.3345,1.7604,3.7041,5.4762,4.6883,11.0123,8.6336,14.8848,4.9496,11.0333,10.5395,11.4968,5.0748,5.0564,10.6506,9.9725,6.8803,8.6591,25.4357,,
0,5.2012,1.4763,4.0929,5.4077,4.6269,10.405,8.3962,14.3614,4.7726,11.1926,11.1483,12.6204,5.2724,4.7322,9.1691,9.8135,6.8758,8.5058,25.9602,,
0,5.2628,1.5578,3.8122,5.5916,4.6919,9.8707,8.4859,14.7953,4.6339,11.0485,11.3438,11.5323,4.9354,4.78,9.9883,10.0286,6.2085,8.0763,23.8649,,
0,5.1321,1.6045,4.058,5.7813,4.476,9.9843,8.6712,14.4434,4.7749,10.773,10.944,12.4253,4.6045,5.2344,10.0636,10.7273,6.1133,8.3498,25.4634,,
0,5.4581,1.8419,3.8184,6.0226,4.6387,9.9514,8.3511,14.1008,4.6594,10.7387,10.8233,11.067,4.6309,5.185,9.9756,10.9767,6.325,8.8296,22.6394,,
0,5.7267,1.6527,3.9237,5.516,4.6122,9.9361,7.8615,15.3199,4.8094,10.5818,10.6173,12.4265,5.3795,6.5992,9.7989,10.4002,6.964,8.2811,27.6344,,
0,5.5239,1.658,3.9827,5.4418,4.5005,10.3109,7.3976,15.0823,4.9535,10.1441,11.0711,11.2917,4.6559,6.381,9.465,9.8902,6.3597,8.3416,19.703,,
0,5.5731,1.4439,3.7558,6.1567,5.1076,10.0954,7.233,17.1014,4.4669,9.5542,10.2328,12.567,4.9824,7.0382,10.3478,8.9673,6.7053,10.6653,25.2295,,
0,5.4251,2.2076,3.7951,6.0551,4.9857,9.6569,6.7952,15.2635,4.821,9.8672,10.5277,11.5848,5.1556,6.6627,9.9521,8.1007,6.2117,13.367,25.9022,,
0,5.349,2.4325,3.7873,5.619,4.701,9.6461,6.8199,15.7493,4.8117,10.3056,10.4458,14.9141,5.3349,6.1777,9.2773,7.4798,6.7921,12.8818,25.112,,
0,5.5165,2.4083,2.9673,5.2444,4.7538,9.3098,7.0471,15.4757,4.7497,10.3332,10.0697,15.3957,4.4309,7.2295,8.6697,8.9565,6.5489,12.1045,23.5658,,
0,5.4687,2.1242,3.3227,5.636,4.748,9.0708,6.5199,15.2327,4.7048,9.8516,10.5192,15.5934,5.2935,7.0432,9.4264,7.2966,6.5393,11.5271,22.8527,,
0,5.352,2.0423,3.5886,5.961,4.8328,9.4831,6.1592,15.2735,4.9663,9.8955,10.4689,15.082,4.7435,9.4924,7.51,7.4787,6.8404,11.921,23.7791,,
0,4.7892,1.9402,3.5511,5.777,4.7395,10.5212,5.9151,15.8555,4.6505,9.6884,10.3591,13.3285,5.3077,8.8059,9.565,6.9156,6.1628,11.723,23.0076,,
