odour stim;16/11/2020 Male4;16/11/2020 Female10;17/11/2020 Female3;17/11/2020 Female9;18/11/2020 Female3;18/11/2020 Female8;19/11/2020 Male5;19/11/2020 Female10;20/11/2020 Male10;23/11/2020 Male5;23/11/2020 Female9;25/11/2020 Female4;16/02/2021 Male6
;30V-60V;30V-60V;30V-60V;30V-60V;30V-60V;30V-60V;30V-60V;30V-60V;30V-60V;30V-60V;30V-60V;30V-60V;30V-60V
0.5;4.7312;4.0347;15.5902;5.2388;17.6367;9.3247;15.0335;21.4182;6.7329;6.565;5.8956;8.7536;9.2315
0.5;4.7415;3.5265;13.2181;4.6734;16.7907;7.9711;13.4759;21.0575;6.7823;6.1518;5.4822;9.7808;9.1156
0.5;4.5144;3.9508;13.7501;4.5576;16.3349;7.7381;11.8705;19.6847;6.6231;7.0568;5.4182;10.2911;8.8742
0.5;4.5684;3.3192;14.072;4.6516;15.6521;8.0544;10.9386;18.2219;6.6519;6.7136;6.21;10.6331;10.7878
0.5;4.7039;3.5002;16.3649;5.9901;12.9504;7.7223;9.3988;18.4024;6.8944;7.5374;6.9342;10.7341;10.6092
0.5;4.2402;3.2088;18.2382;6.9284;11.3421;7.4852;10.1185;20.6267;6.0109;8.0058;5.6698;10.8424;10.4267
0.5;5.0593;2.8227;18.2019;7.2877;10.3259;8.0802;9.9232;19.0852;7.3805;8.3856;5.2358;11.2285;10.5282
0.5;4.7402;2.4403;17.6515;7.2879;10.6811;7.4351;9.7788;18.2231;8.1093;12.0103;5.3512;11.9744;10.8048
0.5;4.5762;3.0147;17.3352;7.1671;11.6935;7.9032;9.2076;21.0678;8.0259;11.4874;4.9609;11.5171;10.3825
0.5;3.547;2.8447;17.3471;7.1253;11.6695;8.0437;8.3944;24.2588;7.4641;11.7226;4.8047;11.7083;9.4413
0.5;3.8499;2.8599;18.7809;6.8789;13.0888;7.0701;8.0465;25.5519;7.95;11.8044;5.3144;11.3692;8.9711
0.5;3.814;3.3907;19.0816;7.9509;12.4398;7.9972;8.7968;24.7389;7.8225;11.462;6.0397;12.6313;11.5895
0.5;3.1626;3.7728;18.3083;7.7218;11.94;6.9133;8.881;24.0058;7.4489;14.0963;6.3987;12.6733;13.3686
0.5;3.8336;2.9842;17.0012;6.8391;10.2181;7.0171;8.7834;20.3747;9.4175;15.3493;6.5199;13.5104;14.3278
0.5;4.6859;3.2971;14.7318;7.0938;10.8875;7.9506;9.0632;17.2602;8.728;15.9642;5.6866;13.7936;14.5776
0.5;5.4819;3.603;17.1168;7.7046;11.151;7.1764;8.8452;14.0577;8.1026;13.8538;6.3461;14.3597;14.6854
0.5;5.3404;4.0239;16.4052;6.7624;12.2911;7.1028;8.2578;13.5943;8.98;15.0764;5.8657;15.0634;14.4224
0.5;5.5983;3.657;15.9223;6.2855;14.4101;6.6394;8.2114;14.6268;9.4743;14.7107;6.2356;14.281;13.003
0.5;6.2056;3.4166;15.7197;7.8649;16.9857;8.8068;8.2189;14.0717;8.3355;14.7238;7.0293;14.9232;12.2285
0.5;5.5615;3.7303;16.041;8.124;17.2558;8.6172;8.4509;13.5495;8.773;13.5461;6.6463;15.3862;12.7341
0.5;5.241;4.1272;15.4262;8.23;14.9398;8.2321;8.5446;14.7355;8.6139;14.904;6.5503;15.1757;10.6579
0.5;4.0378;3.2766;17.0121;7.7068;13.8585;7.8967;8.0756;13.317;8.4923;13.9443;6.4722;15.7028;10.2871
0.5;4.0067;3.2996;16.2542;7.5291;13.5198;6.8981;8.1077;13.6187;8.8907;10.5834;6.2002;14.4949;9.0996
0.5;3.2533;3.2317;15.8559;7.8028;13.239;7.5939;7.8824;16.2329;8.7016;10.7823;5.5211;14.4164;9.6715
0.5;3.9287;3.0796;16.1409;8.1477;12.9321;8.024;7.9918;17.4259;8.7254;11.1083;6.6413;14.592;9.4691
0.5;4.3585;3.4039;16.0816;8.645;13.7477;8.2772;9.119;16.8071;9.0063;10.8902;6.7945;15.0804;9.0817
0.5;5.6432;3.1013;15.697;8.3565;13.1868;8.3396;8.0439;14.4124;9.6241;9.3031;7.5539;14.7717;9.8234
0.5;5.3728;3.2621;15.9204;8.9272;14.0995;9.1899;8.4649;13.1337;7.9584;8.1501;6.9666;14.8386;10.506
