odour stim;07/12/2020 Female10;09/12/2020 Male4;09/12/2020 Female11;11/12/2020 Female3;11/12/2020 Male8;14/12/2020 Male3;14/12/2020 Male7;15/12/2020 Male3;15/12/2020 Female8;08/02/2021 Female2;09/02/2021 Female5;10/02/2021 Female2
;15V-30V;15V-30V;15V-30V;15V-30V;15V-30V;15V-30V;15V-30V;15V-30V;15V-30V;15V-30V;15V-30V;15V-30V
0.5;9.5101;17.0523;7.2769;28.7895;19.8744;18.1222;20.7092;35.5139;27.668;15.9498;18.9264;9.9539
0.5;9.8309;18.3896;7.6564;30.476;21.7159;16.2163;22.5821;40.4435;28.1035;16.618;19.1876;9.498
0.5;9.1215;20.7251;7.4182;30.7247;23.6916;15.7845;20.8762;41.6254;27.3118;17.5178;17.4863;10.1255
0.5;9.2858;20.2545;7.4796;29.633;21.7394;15.3028;21.7797;37.7212;24.3736;16.9494;16.1121;10.307
0.5;9.7139;17.6568;7.3934;30.1843;19.285;18.3618;20.0875;35.8578;21.9194;17.6217;16.11;9.1308
0.5;10.6899;18.6067;7.5942;26.7911;17.1674;17.9947;22.1863;40.6991;26.3589;17.6421;14.8123;8.8311
0.5;10.2032;16.8774;7.2821;23.5944;16.6805;18.4997;23.17;40.3984;26.3642;16.1641;14.5059;7.5567
0.5;9.5971;18.8803;7.3802;24.9662;15.8788;17.0981;21.9172;41.9112;22.618;13.9318;15.0321;9.1043
0.5;11.7798;17.7631;7.451;24.8309;18.6719;16.35;26.7355;36.9481;20.7339;13.6421;14.8914;8.2279
0.5;13.3597;18.7395;7.173;25.0198;17.5597;17.5589;27.5714;40.3035;18.1433;14.7571;13.527;9.1277
0.5;12.4756;17.6851;7.0351;24.9205;17.6801;19.4814;25.8749;43.8209;17.3265;13.4355;13.8859;8.2765
0.5;12.5523;17.839;7.0045;23.4142;18.926;19.2434;18.1212;39.8654;18.0075;13.3101;14.2262;8.2313
0.5;14.0721;21.0421;6.4588;25.9533;18.9255;17.3386;19.8297;39.3503;20.1024;12.2792;16.4109;7.1361
0.5;13.1995;19.4191;6.6628;22.9205;19.5808;16.4756;21.589;42.7147;22.2526;14.2959;17.7759;8.7486
0.5;12.4166;20.7845;6.8945;23.1447;18.8123;14.8525;24.2251;44.4815;20.2994;13.409;16.1548;7.8306
0.5;12.2067;18.1225;6.5819;25.3358;19.7158;14.6131;23.8937;38.9017;18.8664;11.6004;14.7762;9.7062
0.5;11.6693;19.615;6.3361;23.8287;22.469;15.1099;27.357;40.6203;17.201;12.7637;14.6867;9.0881
0.5;11.8378;19.6334;6.5921;23.9802;20.3893;17.0203;27.7615;41.2796;16.3537;11.8795;16.9493;10.6026
0.5;12.1823;18.0883;6.5676;23.2628;18.8587;17.3938;25.5462;38.6325;18.1155;12.2026;16.5766;10.6639
0.5;11.1061;17.9722;6.4463;24.102;17.7623;17.9618;29.0268;37.7115;19.3045;13.4843;15.8418;10.8346
0.5;11.2243;17.7396;6.2044;22.9166;18.8019;17.2091;27.0236;43.4119;20.7342;11.8008;16.8809;10.8387
0.5;10.8023;19.1162;6.0695;23.5393;17.3912;15.6202;27.936;40.9793;22.0662;11.5115;15.3316;10.7112
0.5;12.6947;20.2362;6.6758;22.7197;16.3352;15.0002;31.3098;40.4023;21.369;12.7914;14.9586;10.1657
0.5;14.2356;19.6231;6.4551;25.0116;17.4673;13.6538;31.4763;45.3472;23.5087;12.5818;15.5917;11.7046
0.5;16.44;21.0281;6.7599;25.3885;17.2181;16.2034;31.3863;43.0668;22.6661;11.7847;15.0017;14.0917
0.5;14.2742;20.2208;6.0854;24.108;17.2864;16.1961;29.0253;41.7597;23.3533;12.8935;14.5546;12.9668
0.5;12.3027;20.0635;6.1299;25.1544;17.0323;15.9722;33.1142;43.1741;24.7861;13.6956;13.9611;11.9713
0.5;12.4363;20.7051;6.269;23.4483;15.5838;16.8001;32.2284;40.8274;22.0866;12.5668;13.1533;12.9092
0.5;11.0406;19.9973;6.5395;23.8877;15.9959;16.3099;31.2073;43.9778;22.7625;12.5236;13.7568;12.0559
0.5;11.0839;19.3989;6.1301;22.3293;16.7331;15.0369;30.3558;41.2457;22.1308;11.86;16.408;12.2103
0.5;11.3979;16.1599;6.3757;22.1491;17.4059;14.0972;27.4792;41.1225;22.2086;11.9763;16.2876;12.2567
0.5;11.0823;14.3997;6.1902;25.2852;20.3378;14.3341;27.257;43.1527;22.3828;12.778;17.7373;10.6171
0.5;12.4452;14.7244;6.3724;25.9165;20.9244;13.8088;24.2131;45.4415;23.9731;11.6955;16.2295;12.6478
0.5;11.0918;16.2347;6.3363;24.101;23.2159;15.5938;23.2353;44.285;20.7231;10.5404;15.8964;12.5294
0.5;9.6403;13.5078;6.3715;24.6735;20.8741;15.8712;25.933;41.4413;23.5952;11.1809;15.3778;12.5323
0.5;10.3783;14.2949;6.2106;20.4894;21.2;18.4685;30.1259;38.9558;25.5003;11.3666;14.4954;10.6536
0.5;11.7477;14.1791;6.2899;21.6525;19.185;18.3496;27.0873;41.4025;22.9546;9.8059;13.4174;11.3676
0.5;10.8396;13.5362;6.3486;23.5984;19.1646;18.0217;29.5309;43.2501;21.859;9.6496;14.0931;10.0633
0.5;10.0422;17.1753;6.7795;22.5131;21.9199;18.3508;21.353;38.7667;24.8139;11.2688;16.1119;11.5164
0.5;11.4182;16.3154;6.5473;24.6293;22.7478;18.5852;19.1853;39.5278;24.7801;12.0202;14.9016;12.3335
0.5;13.8633;14.9474;6.5444;22.5522;23.1712;17.9653;17.6843;36.2492;24.5471;12.9194;15.5247;12.6964
0.5;14.0394;13.8317;6.5942;20.4175;21.5924;18.655;19.1452;40.5763;22.8664;12.6048;14.6536;10.9407
0.5;15.6098;14.5226;6.7704;22.7038;21.5735;17.5782;19.2292;37.9984;25.3227;11.6692;14.0429;11.0015
0.5;15.4455;13.5342;6.6257;21.7132;20.9809;16.206;20.6636;35.9717;23.3771;11.8435;15.4345;12.4873
0.5;13.9956;14.6272;6.8381;23.5946;19.0484;16.9766;18.7585;38.2523;25.4165;11.3507;14.3982;13.1376
0.5;12.8763;15.4673;6.8466;22.224;23.6451;15.9122;21.3936;37.268;24.6509;10.059;13.8952;12.2864
0.5;12.6876;14.1779;6.74;20.5825;24.9516;15.3998;21.3592;36.4182;24.4683;11.2407;13.3765;10.6029
0.5;11.8727;15.0524;6.7242;22.5458;24.98;16.2186;22.8935;39.4915;28.6756;10.3793;13.5446;11.3444
0.5;13.946;16.3476;6.7182;21.768;23.5483;15.3641;23.545;38.3081;25.3073;11.6997;11.7004;10.8518
0.5;11.9182;16.7965;6.9071;26.1982;24.0534;17.2638;23.1904;37.9614;21.8547;11.7857;13.2355;12.0535
0.5;13.4702;15.1799;6.6139;24.3964;23.178;16.0344;24.3049;39.1463;21.7001;11.9181;12.6284;10.9177
0.5;13.4639;13.3973;6.3924;26.0974;21.3237;15.6488;24.0709;40.0289;24.5277;10.9795;12.9594;11.11
0.5;11.8319;11.3469;6.3907;24.4548;18.5432;15.9943;22.2364;38.7249;29.0953;10.4761;15.1096;9.6609
0.5;10.8747;13.5418;6.9383;23.9127;17.1166;15.3335;21.4235;40.5667;29.9718;9.4054;15.6281;10.5995
0.5;12.4758;13.0667;6.687;26.1774;15.7767;14.3339;16.6131;39.4783;26.1459;10.9054;17.4174;11.4402
0.5;13.2252;13.6741;6.6724;24.5635;15.3111;16.6952;16.3679;39.2982;25.1514;12.1993;16.38;11.9944
0.5;11.6885;14.6241;6.8001;22.1473;15.6442;16.731;15.3583;39.0483;25.9024;11.3831;15.0538;12.4878
0.5;11.0519;13.8529;6.9156;24.7013;15.5173;15.9171;15.7351;39.8317;26.7478;12.3073;13.9433;12.7518
0.5;12.2671;14.3691;6.7043;25.3338;14.6956;15.0886;18.6061;36.5341;23.5392;11.1697;13.9084;13.4632
0.5;12.3753;14.548;7.1044;25.1731;13.4385;16.9069;18.4571;33.7447;24.1224;11.0409;14.4742;12.1709
0.5;13.9019;18.3065;6.7599;25.1903;12.6669;17.0251;17.9832;35.5368;24.3858;11.0561;15.7859;13.5285
0.5;12.4622;16.3347;6.7835;26.7044;14.9709;19.1381;18.2447;37.7955;30.3758;11.7079;14.491;11.74
0.5;12.07;14.6458;6.7002;29.8945;14.6702;18.5314;17.6888;36.5354;29.9735;11.6974;14.0252;11.0604
0.5;12.3011;15.7023;6.7909;26.8614;13.9662;17.2809;16.8479;35.9658;26.1353;11.1929;13.4802;9.9488
0.5;13.3168;13.7983;6.8222;28.9086;14.1754;16.0788;15.428;36.0834;25.2788;11.031;13.929;11.6634
0.5;12.8105;15.1025;6.7675;29.1891;15.0742;16.9423;15.0573;38.1526;25.5347;11.1335;14.0085;10.3053
0.5;12.1008;17.7757;6.5035;28.869;14.4283;15.4864;14.0497;37.1068;22.2879;10.32;15.8229;12.9207
0.5;10.6896;18.9264;6.9735;29.4754;13.3854;14.2745;14.022;38.6691;24.3372;9.2675;15.5768;11.0166
0.5;11.7091;20.0586;6.7662;27.7391;14.6516;13.1694;13.4197;37.9985;23.1459;9.8263;14.9536;10.6365
0.5;12.8721;21.4387;7.0421;25.0319;13.8615;15.7376;17.6303;33.9823;25.3706;10.1099;14.793;9.7695
0.5;13.953;18.7264;6.6529;22.055;11.7704;17.3881;17.9678;36.0119;26.3387;9.9753;14.6018;12.9073
